Movie Name,Original Language - Year of Release,Overview,MDL Rating
Lost in Reminiscence,Japanese Movie - 2024,"The incinerator of a waste treatment facility, where a fire blazes fiercely behind a circular window. The sound of a government official’s voice over the radio announces that the name of the era is changing. A nameless…",
Heavens x Candy,Japanese Movie - 2024,"This is a pure love story of a shy guy who falls in love with an AV actor he knows through fan activities. On the way back from a fan event for the popular anime series ""Heavens x Candy"", Hibiki Takato, a 2D otaku with…",
The Mystery of Humanoid Puppet,Chinese Movie - 2024,"After occurrences of a bizarre fire in Luoyang palace, incredible puppetry skills, the Kunlun sacred tree that has been frozen for a thousand years, a shocking, bloodthirsty murder case, Wu Ze Tian's mysterious Plum…",7.4
Acting for Beginners,Japanese Movie - 2024,"~~ Release dates: Jul 13, 2024 (Festival)",
Seek Out Natural Mysteries,Chinese Movie - 2024,"In 1997, a Cambrian fossil was unearthed in Chengjiang, Yunnan. It lay quietly in the fossil library of Northwest University and no one cared about it until it was discovered by Professor Shu De Gan. It caused a sensation…",
Successor,Chinese Movie - 2024,"~~ Release dates: Jul 13, 2024 (pre-screening) || Jul 16, 2024 (Cinema)",7.9
Words of Corpse,Chinese Movie - 2024,,
Huang He Shui Guai,Chinese Movie - 2024,,
A Hero Is Born,Chinese Movie - 2024,,
Kingdom 4,Japanese Movie - 2024,"While Qin continues its constant battles to unify the region, neighboring country Cho suddenly invades Qin from the north. To fight against Cho, Eisei places legendary General Ohki as the commander-in-chief. Shin admires…",8.4
Okaasan ga Issho,Japanese Movie - 2024,"Yayoi, Manami, and Kiyomi are 3 sisters with different characters, each hiding their complex from each other. One day, they take their mother on a trip to the hot springs. Having a common feeling that they do not want…",
Love the Stars,Chinese Movie - 2024,,
Close Friend,Chinese Movie - 2024,,
Cha Quan Feng Yun,Chinese Movie - 2024,,
Di San Zhi Yan,Chinese Movie - 2024,,
A Legend,Chinese Movie - 2024,"Archaeological expert Professor Chen discovered that the texture of the cultural relics discovered by his students during the glacier inspection was very similar to a jade pendant he saw in his dream, as if the jade…",8.2
That Kind of Love,Filipino Movie - 2024,"A story about two imperfect people entangled by fate because of their search for love. The Love Coach extraordinaire, who profiles and points out the flaws of a conceited man who deems himself as Mr. Perfect, ends up…",
Encounter Love,Chinese Movie - 2024,,
Nacked in the Wilderness,Chinese Movie - 2024,"~~ Release date: Jul 10, 2024 (Festival)",
Kaulayaw,Filipino Movie - 2024,"Two college schoolmates venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other.

(Source: vivamax.net)",7.3
Bullet Day,Filipino Movie - 2024,"A former hit man is trying to live a normal life when someone from his past sees him and puts his family and friends in danger. Can he sacrifice his new life to fight for the ones he loves?

(Source: vivamax.net)",
Just to Meet You Again,Chinese Movie - 2024,,
Reflection,Chinese Movie - 2024,~~ Co-production with Singapore.,
The Fishing Wives of the Coffee Shop,Chinese Movie - 2024,,
Farewell Blue,Chinese Movie - 2024,"~~ Release date: Jul 8, 2024 (Festival)",
Weird Typhoon,Chinese Movie - 2024,,
Let You Have a Story,Chinese Movie - 2024,,
Horror Legend of Miao Ling,Chinese Movie - 2024,"In a remote mountainous area at the end of the Ming Dynasty, several villagers secretly raided a tomb late at night and were killed by a Gu curse. Lu Wen Liang and Zhang Chi Yi noticed the strange aspects of the corpses…",7.4
Bad Blood,Korean Movie - 2024,"South Korea is on the brink of population extinction, and a new virus, PT3, destroys red blood cells. The only cure is to transfuse young blood, but with 11 million elderly patients and 900,000 young people who can donate…",
Where Is My Mind,Chinese Movie - 2024,,
Big Project,Chinese Movie - 2024,,
Love Beside Me,Taiwanese Movie - 2024,"17-year-old Xiao Nan turned to her best friend, the guitarist Yu Guang, to help her win the affection of Zi Jie, whom she had a crush on. Together, they participated in a musical audition, and everything seemed to be…",
Qiao Guo Fu Ren,Chinese Movie - 2024,"It tells the story of “the first heroine”, Xian Ying, who dedicated her life to maintaining national unity. When the Sui Dynasty was established, General Wei Guang led the Sui army to confront Lady Xian, who was…",
Natsume Arata no Kekkon,Japanese Movie - 2024,Arata Natsume is a former yankee who now works as an employee at a child guidance center. One of the children under his care is a boy whose father was murdered by Shinju Shinagawa. Shinju Shinagawa committed a series…,
Sensei no Shiroi Uso,Japanese Movie - 2024,"Hara Misuzu works as a high school teacher and prefers to keep a distance from her students. In the past, she was raped by her best friend’s boyfriend, Hayafuji, after he found out she liked him. She didn't report…",
Welcome to My Side,Chinese Movie - 2024,"Chen Xiao Zhou suffered an accident after breakup. Since then, he has often seen a large group of rubber ducks quacking, which has brought great obstacles to Chen Xiao Zhou's life until a girl named Feng Jia Nan appeared.…",
Fish,Chinese Movie - 2024,"~~ Release date: Jul 5, 2024 (Festival)",
Maliko,Filipino Movie - 2024,A sexually fluid med rep is sent to the town of Maliko. She befriends an attractive local girl and her boyfriend to fall for her trap. She then plays with both of them to satisfy her sexual cravings making them mere…,5.0
Madam Xian,Chinese Movie - 2024,,
Uranus2324,Thai Movie - 2024,"Love is bigger than the universe and deeper than the ocean. 

(Source: thai.film)",7.1
A Place Called Silence,Chinese Movie - 2024,"Chen Yu Tong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater…",7.0
The Caller,Chinese Movie - 2024,"To escape her husband's domestic violence, Meng Jia accidentally answered a call from the former resident Ru Mei in her new home. At first, the relationship between the two heated up due to their curiosity about the…",
Once Upon a Time in HKDSE,Hong Kong Movie - 2024,"How challenging is the Hong Kong university entrance exam? Is failing it the end of the world? Popular Youtube Channel “Trial & Error” spent 8 months documenting the journey of Hong, an exam candidate that doesn’t…",
A Four-Color Driver,Chinese Movie - 2024,,
