Movie Name,Original Language - Year of Release,Overview,MDL Rating
Cleaning,Korean Movie - 2023,"Clean and neat?

(Source: Horror BBababam 호러빠바밤 YouTube)",
Eternal New Mornings,Japanese Movie - 2023,"A ""story about facing life"" set in Miyagi prefecture, 10 years after the Great East Japan Earthquake. A former musician who lost her boyfriend in an accident. A pro boxer who keeps fighting even after the age of 30 and…",
Cyber Heist,Hong Kong Movie - 2023,"Zhuo Jia Jun is a senior cyber technician who is targeted by his brother Jason and general manager Sun Bin. He has a daughter, Bao Er, with his wife, Du Yong Shan. Jia Jun has developed a powerful AI program, ""Yi Tai"".…",6.2
Kill the Drug Lords,Chinese Movie - 2023,,6.6
My Heart Puppy,Korean Movie - 2023,"“Puppy” is a film about two men with puppy-like charms and their interactions with an actual dog. A man who is about to get married learns that his fiancée has a severe dog allergy, so he goes through an adventure…",7.9
Khun Phan 3,Thai Movie - 2023,"A bullet proof policeman loses his power and fights to gain it back.

(Source: thai.film)",7.4
The Devil's Deal,Korean Movie - 2023,"The more power he desires, the darker his world becomes. Hae Woong, an assembly member candidate, is taken out of the running because he became a thorn in the side of a local bigwig, Soon Tae. Hounded by loan sharks,…",7.1
Martyr or Murderer,Filipino Movie - 2023,"The film explores the assassination of Ninoy Aquino on August 21, 1983, three years before the events of Maid in Malacañang, and how the Marcoses were accused of as those responsible for killing him. (Source: IMDb)",
Ethnic People,Korean Movie - 2023,"A documentary film that looks back on the history of Koreans in China through various materials and videos, from the first ethnic Koreans who settled in China in the 17th century to modern and contemporary history such…",
"There Is People Here, Too",Korean Movie - 2023,"Choong Gil is an unknown actor who broke up with his girlfriend and is having trouble with his work. While frustrated, a great thing happened to him. He passed the first audition for a new film by a world-renowned master…",
Hour of Danger,Filipino Movie - 2023,"As unrest unfolds, a family who lives in the slums grapple with the murder of their patriarch in the hands of corrupt policemen, turning from passive victims of social injustice into active participants in the final…",
Aksa,Chinese Movie - 2023,"As winter arrives at the end of the year in a small town on the south-west of the Yangtze River. People gathered to ring away the old year and ring in the new, but a woman's unexpected departure changed everything. Woman's…",
Romance Campus,Korean Movie - 2023,"Actor Min Jae, who is tired of everyday life, leaves for his hometown, Namwon, with his hometown friend and fellow actor Kyung Wook. Min Jae and Kyung Wook, who were on a nostalgic trip recalling childhood memories in…",
Weed People,Korean Movie - 2023,"""He comes when it's worth the work. Weed extract works. So I heard."" ""There is a legendary farmer who grows the greatest tree ever."" Jo Joon, a third-class serviceman, suffers severe epileptic seizures during a fight.…",
Stay with Me,Filipino Movie - 2023,"A story of an independent woman who has Schizophrenia. Having hallucinations, will she believe that Stan is just a part of her creation or her alter-ego?

(Source: Ticket2MeNet Twitter)",5.9
House,Korean Movie - 2023,"When you look for a new house, check thoroughly.

(Source: Horror BBababam 호러빠바밤 YouTube)",
Bloody Border,Chinese Movie - 2023,,
Tale of the Mural,Chinese Movie - 2023,"Zhu Xiao Lian, the most famous painter in Jiangnan, entered the world of the painting wall where demon spirits exist through an ancient temple mural. There, he meets the first woman who makes him want to draw a portrait,…",6.9
Er Ren · Shi Jie,Chinese Movie - 2023,"Dr. Xiao Zhou cannot graduate and marry his girlfriend, so he is at a loss. The company run by Lin Feng was on the verge of bankruptcy, and at the same time, his wife was divorcing him. Xiao Zhou and Lin Feng were strangers…",
PC Cafe Goddess,Korean Movie - 2023,This story tells about the many men who always come to a PC cafe to meet a very beautiful woman working at that place. All of them tried to win the heart of the woman in various ways. They even compete with each other…,6.7
Paper City Tokyo Dai Kushu no Kioku,Japanese Movie - 2023,"In 1945, the US firebombed Tokyo, destroying a quarter of the city and killing 100,000 people. Now, in a society rapidly forgetting, three elderly survivors fight to leave behind a public record of their experiences…",
"Tadaima, Tsunakan",Japanese Movie - 2023,"This documentary looks at a guest house that is located on an oyster farm near Kesennuma City, Miyagi Prefecture. The location may sound familiar because of the March 11th earthquake and tsunami. The guesthouse is run…",
Audition,Korean Movie - 2023,"She is a good actress.

(Source: Horror BBababam 호러빠바밤 YouTube)",
Asuka ni Ikiru,Japanese Movie - 2023,"A documentary about medical care in Asuka Village, Nara Prefecture. With a declining population and so few doctors, Dr. Ichiro Takeda tries to encourage another generation of medical practitioners while also serving…",
Call Me Chihiro,Japanese Movie - 2023,"Chihiro used to work as a prostitute. She happened to stop by a seaside town and have a bento meal there. She loved the meal so much, she decided to settle down in the seaside town and work at the bento shop. She now…",7.7
Yudo,Japanese Movie - 2023,"Shiro Miura , an architect, suddenly returns to Marukin Onsen, the public bath house left behind by his late father. The reason for his return is to tell his younger brother Goro, who manages the store, that he will…",7.9
Ultraman Decker Finale: Journey to Beyond,Japanese Movie - 2023,"A peculiar sound echoes through the sky. Those who hear it faint and eventually vanish. Expert team GUTS-Select investigates but is met with attacks from an alien army and a pitch-black mobile fortress, Zorgaus, piloted…",7.3
Dragon Quest: The Soul Coffin,Chinese Movie - 2023,,6.9
Step up to Runway,Thai Movie - 2023,"Alice, a young pianist, takes on a journey to search for her long-lost mother, a world-renown supermodel. She strikes up a strong friendship with her teammates, Jom, Ball, Jaidee, Pete and PeiPei to join the ‘Step…",
Love Is Plan B,Hong Kong Movie - 2023,"Man Gwok Seng is enjoying a pre-retirement trip to Hawaii with his wife, Lam Jing Jing, when she is struck by a rare virus that invades her brain, putting her in critical condition. Although Jing Jing eventually survives,…",
East Wind,Hong Kong Movie - 2023,"A gangster hears about a mysterious hole in a city that sets off a chain of events. 

(Source: pensivefilms.com)",
Marui Video,Korean Movie - 2023,"The video evidence of the murder, which is especially brutal and graphic, shouldn't release to the public. A reporter who has access to the prosecutor's office hears about a cursed tape in the video archive and begins…",7.0
The Assassin,Korean Movie - 2023,"An action historical drama depicting the story of Joseon's best swordsman Yi Nan in front of an irreversible fate.

(Source: HanCinema)",6.7
Count,Korean Movie - 2023,"“Count” will tell the story of former gold medalist-turned-gym teacher Si Heon and rebellious student Yoon Woo as they throw a punch at the unfair world.

(Source: Soompi)",7.6
Black Hunting Operation,Chinese Movie - 2023,,7.1
In Water,Korean Movie - 2023,"A young actor decides to give up acting and make a short film. The small crew comprising the actor himself, the cameraman and the female lead arrive on rocky, windswept Jeju Island. (Source: MUBI) ~~ Release Dates: Feb…",6.3
Now.Here,Chinese Movie - 2023,"Wen Hui believes he was born to be a goalkeeper, even though nobody remembers how he first got into football. The odds of saving a penalty are against him, but he knows that when confusing events happen, there is comfort…",
Ako Si Ninoy,Filipino Movie - 2023,"The film chronicles the life and tragic death of Philippine's national hero former Senator Benigno ""Ninoy"" Simeon Aquino Jr.

(Source: GlobalDailyMirror.com)",
Absence,Chinese Movie - 2023,"Yu returns to his hometown on Hainan Island after ten years in prison and tries to rekindle his relationship with his ex-lover, Hong. Hong’s plan to buy an apartment forces them to face predicaments in sight while…",7.0
Xiao Hui and His Cows,Chinese Movie - 2023,"Far away from his parents, Xiao Hui lives with his grandfather in the mountains. When a calf is to be sold, the witty nine-year-old does everything in his power to prevent the separation of mother and child. A soulful…",
The Smoking Girl,Japanese Movie - 2023,,
Suki,Filipino Movie - 2023,"A lady stripper and a gigolo promised each other that their work can't break them apart. But when lust and temptation come into the picture, they begin to question their vow.

(Source: vivamax.net)",6.6
Tomorrow Is a Long Time,Taiwanese Movie - 2023,"It tells the story of a single father, Chua, and his son, Meng, who immigrated from Taiwan to Singapore. In order to make a living, the father worked overtime every day to kill insects at the construction site. He was…",
Ikiru: Okawa Shogakko Tsunami Saiban wo Tatakatta Hito Tachi,Japanese Movie - 2023,"This documentary is compiled from 10 years of footage shot by some of the parents who want answers as to why they lost their children at Okawa Elementary School in Ishinomaki City, Miyagi Prefecture, due to the Great…",
Senkyonandes: The Movie,Japanese Movie - 2023,"The documentary film focuses on the 2021 House of Representatives election in Kagawa, as well as the 2022 House of Councillors election in Osaka and Kyoto. It offers a unique and compelling perspective on the elections,…",
J-Hope in the Box,Korean Movie - 2023,"""I'm your HOPE, You're my HOPE, I'm J-Hope"" A documentary that captures the album production process of J-Hope' first official solo album, ""Jack In The Box"" released in July last year and features his solo activities…",9.2
Unlocked,Korean Movie - 2023,"A woman’s life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.

(Source: Netflix)",7.9
Green Night,Hong Kong Movie - 2023,"They meet at the airport in Seoul and could not be more different: Chinese immigrant Jin Xia works at the security checkpoint, dresses practically, and does her duty. The green-haired woman who shows up that day is younger,…",7.1
Shylock's Children,Japanese Movie - 2023,A million yen goes missing at the Nagahara Branch of Tokyo Daiichi Bank. Long-time customer service staff Nishiki sets out on a mission to uncover the truth together with his colleagues Airi and Tabata. After coming…,7.1
Lagaslas,Filipino Movie - 2023,"A young man named Edmar falls madly in love with Karisma, a barrio lass. Will he still love her if he finds out Karisma's deepest darkest secret?

(Source: Vivamax.net)",6.6
Er Long Hu Wang Shi Zhi Huang Jin Jie,Chinese Movie - 2023,,
Ming Jue Village,Chinese Movie - 2023,"It tells the story of the mysterious ancient village ""Mingjue Village"" isolated from the world, fighting against foreign invaders during the Republic of China, and vowing to protect the ""Stele of the God of War"". (Source:…",
The Tagger,Korean Movie - 2023,"Drinking too much alcohol can harm your health.

(Source: Horror BBababam 호러빠바밤 YouTube)",
Trip After,Thai Movie - 2023,"In the 1960s, the United States Information Service (USIS) mobile film units travelled around the northeast region of Thailand showing their self-produced propaganda films to rural audiences as part of a psychological…",
Saboten to Kaitei,Japanese Movie - 2023,,
Debriz,Japanese Movie - 2023,"Unsatisfied commercial director Wada, young cameraman Sasaki, and producer Aoki come to a scrap factory to shoot a corporate advertisement. Wada and Sasaki find a doll made of garbage lying on the ground. Then, they…",
Utsubuse no Mama Odoritai,Japanese Movie - 2023,,
Ra Mahi,Japanese Movie - 2023,"Ogino Ai, who has lived a safe life for fear of being disliked by others, reunites with her classmate Dojima Tsukiko. Tsukiko, who has pursued her own way of life in complete contrast to Ai, is now a professional wrestler.…",
Yellow River Serpent,Chinese Movie - 2023,,6.7
Police on the Beat,Chinese Movie - 2023,,
"Time Tunnel: Takahiko Iimura at Kino Arsenal, 18. April 1973",Japanese Movie - 2023,"As a preview of the 60th anniversary of the Freunde der Deutschen Kinemathek (today: Arsenal), the installation of videos by the Japanese avant-garde pioneer, who died in July 2022, commemorates a screening at the Arsenal…",
Ten Little Mistresses,Filipino Movie - 2023,"""Ten Little Mistresses"" follows a widowed billionaire named Valentin Esposo who has a total of ten mistresses fighting to become his new legal wife. However, after the mega-rich man is discovered dead in a sudden turn…",7.4
Without You,Filipino Movie - 2023,,
Invincible Eight-Diagram Palm,Chinese Movie - 2023,,
Behind the Blue Eyes,Chinese Movie - 2023,"Zhao Xin Hui and Lin Han Cong, two childhood sweethearts, deeply believe that they will be together for the rest of their lives. But soon, a series of events, in the form of living distances between them, family connections…",7.7
Moments of Love,Thai Movie - 2023,"My Lovely Tutor: When nineteen-year-old Pun has to repeat grade twelve, his parents hire handsome fourth-year university student Get to tutor him. However, Pun's after love rather than knowledge. My Ex-Boyfriend: At…",6.9
Could You Don't Leave Me,Chinese Movie - 2023,"Four couples in four cities, each of them stepping into a new phase of life, only to find their paths deviating from what is expected. As they confront separation, personal doubts, and more obstacles that hit alongside…",
Baka Sakali,Filipino Movie - 2023,,
Detective Dee,Chinese Movie - 2023,"When the ""ghost ship"" entered Hong Kong, the boss wanted to close the case with ""Water Bandit Rebellion"" in order to protect Mingzhe's safety, but Di Renjie faintly felt that something was wrong. The grand ceremony is…",7.3
Prelude,Japanese Movie - 2023,"A grandfather with harsh memories of war, a girl who dreams of becoming a ballerina, a mother living in sorrow, and a kind friend with painful memories; the story of family and friends who carry their significant memories…",7.6
No Direction Home,Japanese Movie - 2023,"After missing the last train after their best friend’s wedding, Ko, Reiji, and Yasumasa are dropped off at a small train station in the countryside. A teacher, a salaried worker, and an aspiring painter, three people…",7.6
Tenohira no Puzzle,Japanese Movie - 2023,"After dating for a year and a half, Risa and Takumi decide to live together. As they began to think about marriage and their shared time with each other, they gradually noticed a certain gap in their relationship. Risa's…",7.7
Taoist Priest in the Tomb,Chinese Movie - 2023,,6.9
Count 100,Japanese Movie - 2023,"Professional boxer Koki climbed to the top, becoming the Japanese lightweight champion two years ago. Shortly after, he was defeated, and in the two years since then, he has lost the confidence to be able to climb back…",
Tiger Cave,Japanese Movie - 2023,"One day, a man who cannot find his place in society is lured out by a mysterious voice.
 
(Source: Drama-Otaku)",
Crank,Japanese Movie - 2023,"Maru runs around Tokyo. Maru hears from his fellow messenger Hide that he might be leaving Tokyo.

(Source: shortshorts.org)",
Icarus: Kataha no Machi,Japanese Movie - 2023,,
The Answer,Hong Kong Movie - 2023,"Season, an art assistant, is setting up a scene for a wedding photo shoot, and coincidently runs into his ex-girlfriend, Fannie, who turns out to be the bride of the shoot. The two recall the past they have spent together,…",
A Son,Japanese Movie - 2023,"Yuki, a social worker, supports orphaned teenagers in becoming independent adults. He meets Wataru and later adopts the now 20-year-old. While Wataru dreams of a career in the entertainment industry, Yuki advocates gay…",
Actor's Short Film 3,Japanese Movie - 2023,,
D' Aswang Slayerz,Filipino Movie - 2023,"The story of Paps and his niece, Eve, suddenly being informed that they come from a family of ""Aswang Slayers."" The messenger, La Niña, tells them that their hometown in the province is being destroyed by the aswangs…",
To My Star 2 (Movie),Korean Movie - 2023,"Kang Seo Joon was once one of South Korea’s top actors. But his career took a nosedive, and he fell into a funk of depression and despair. Some time ago, he met a handsome young chef by the name of Han Ji Woo. Although…",8.1
#Manhole,Japanese Movie - 2023,Kawamura Shunsuke works for a real estate company. He is usually first at first when it comes to sales. He is respected by his boss and colleagues. Kawamura Shunsuke is also set to marry the daughter of the CEO of his…,7.4
Twilight Cinema Blues,Japanese Movie - 2023,"Kondo, a man with a reason for returning to his hometown of Ginpei-cho, where he spent his youth, unexpectedly meets Sato, a homeless man who loves movies, and Kajiwara, the manager of a movie theater. He starts working…",6.9
Sin Clock,Japanese Movie - 2023,In order to turn their lives around three taxi drivers living at the bottom rung of society hatch a plan to steal an invaluable art piece. Their plan was supposed to be perfect but as coincidences pile up it's clear…,7.3
Revice Forward: Kamen Rider Live & Evil & Demons,Japanese Movie - 2023,"Since the dissolution of Fenix, Daiji Igarashi continues to maintain peace with its successor, Bluebird. Meanwhile Hiromi Kadota is showing signs recovery according to Dr, Ichimura, who is a scientist at Bluebird specializing…",7.2
Good Morni MIT,Taiwanese Movie - 2023,"In the deep clouds of Taiwan's mountains, there is a small, slow-moving, peculiar-looking animal that appeared on Earth billions of years ago, saw dinosaurs dominate, and even experienced the extinction of dinosaurs…",
Sleepless,Japanese Movie - 2023,,
Beikoku Ongaku,Japanese Movie - 2023,,
Sensor,Korean Movie - 2023,"If a sensor is detected, be cautious about your surroundings.

(Source: Horror BBababam 호러빠바밤 YouTube)",
Take Me to Banaue,Filipino Movie - 2023,"When a gawky American engineer discovers the real truth of the stunning woman he fell for, he must seek the help from his best friend while grapples with a deal from a businesswoman, all as he tries to make it to Banaue...…",
Ferocious,Hong Kong Movie - 2023,"Sherman is a local KOL who was forced to stay in a quarantine hotel after returning to Hong Kong from Taiwan. After checking in, she found that the room was haunted by a spirit. She was scared to death, but the hotel…",
You & Me & Me,Thai Movie - 2023,"In 1999, while the world is gripped by the Y2K scare, identical twin sisters You and Me are also concerned for their future. The twins are so close with one another to the point that they share every aspect of life with…",7.8
Coffin,Chinese Movie - 2023,,6.8
Pursuit,Chinese Movie - 2023,"Yu Shao Nan is the captain of the female special police squadron, and her teammates all have various unique skills. They were ordered by their superiors to escort the returning Overseas Chinese Ms. Liu, but they were…",7.5
Love My Scent,Korean Movie - 2023,Changsu happens to get a special perfume. The perfume has a special thing that appeals to women. Ara is also attracted to the perfume and meets Changsu. But with the advent of enigmatic characters trying to identify…,7.1
Maybe We Broke Up,Korean Movie - 2023,"Joon Ho and Ah Yeong have been best friends since college and now a couple living together. Ah Yeong is making the best of her situation, but she feels his boyfriend Joon Ho is wasting his life in excuse of preparing…",6.9
Monster of the Deep,Chinese Movie - 2023,"Since witnessing the death of his wife in a shipwreck, Zhang Yang, who has spent half of his life at sea, vowed never to set foot in the ocean again. However, on his daughter's 12th birthday, Zhang Yang, who could not…",7.0
Huaxin: Amorous Butterfly,Japanese Movie - 2023,"Yuji found his photographer grandfather Tetsuro an inspirational man. He taught the lad about the art of cameras, their use, and their power. Yuji comes to regret taking Tetsuro’s picture after being warned that cameras…",
Real and Fake Ji Gong,Chinese Movie - 2023,,6.4
Ancient Beast: Wolf Lizard,Chinese Movie - 2023,"A group of university students planned a special graduation trip, ready to embark on a tense and exciting adventure, but by mistake, they enter a forbidden island inhabited by giant beasts.

(Source: TMDb)",
La Querida,Filipino Movie - 2023,"Interweaving love stories that define the word Querida. A young couple's romance is cut short when the man learns that his woman is married. Meanwhile, an unhappily married husband meets a lonely teacher, and they share…",5.9
God Bless You,Japanese Movie - 2023,"Shinji is a debt collector who has battled with dependency on drugs and the death of his younger brother. His gangster boss pairs him up with a mysterious young man to collect cash and Shinji grows attached to him. However,…",
Tea Friends,Japanese Movie - 2023,"Mana leads a group of young people who established a groundbreaking call girl service for elderly people called ""Tea Friends"". They run three-line advertisements in newspapers that innocently seek ""friends for tea,""…",
Minna Ikite Iru: Futatsu me no Tanjobi,Japanese Movie - 2023,"Hiyama Daisuke is a karate instructor in the full flush of life, but when he collapses during practice, he discovers he has leukemia, and his physical strength begins to deteriorate. His only hope is that he gets a bone…",
Epiphany,Hong Kong Movie - 2023,Young Hui slaves away her adolescence in her family lingerie shop when a chance encounter with the weathered rebel Mayu leads her down a journey of new discoveries and her first taste of adulthood melancholy. (Source:…,
Boso Dos,Filipino Movie - 2023,"An agent infiltrating a drug den. Things get chaotic when the gang leader falls madly in love with her. Will she be successful with her mission?

(Source: IMDb)",6.4
Yellow Chequer,Hong Kong Movie - 2023,"Tin and Ashia have been together for a long time. Ashia got into the university, and Tin became a “Van” driver. Their relationship was stable through the years. However, the difference in lifestyle makes them argue…",6.8
12.31.23.59,Hong Kong Movie - 2023,"When the large-scale memory erasure plan is announced, everyone will lose their memory, and Ho Kai Men is forced to make a choice between friendship and love. Everyone is afraid of losing something, but some things just…",6.5
Scroll,Japanese Movie - 2023,"The story describes how youngsters struggle to cope with the gap between their ideals and reality. (Source: Japanese = Natalie.mu || Translation: MyDramaList) ~~ Adapted from the novel ""Scroll"" (スクロール) by Hashizume…",7.4
Shikakenin Fujieda Baian 1,Japanese Movie - 2023,~~ Adapted from a novel of the same name.,7.4
Dependence,Japanese Movie - 2023,"Although Sonoda Shuichi works in the editorial department of a publishing company, he dreams of becoming a novelist. Not ready to move on from that aspiration, he begins to grow increasingly agitated as his work responsibilities…",
Twilight Fantasy,Hong Kong Movie - 2023,This is a story of a two-dimensional RPG adventure world. It tells the story that the hero and the elf princess go to fight the devil together in order to restore peace to the world. An ordinary female villager embarked…,
42M,Hong Kong Movie - 2023,"Terence works as a postman. He writes letters to his ex-wife and their daughter, but they are always returned unread. Terence has a cousin, Benji. Benji lives with his son, Marcus, in a customized van, which they call…",
My Monster,Hong Kong Movie - 2023,"Orphan Starry turned eighteen and was asked to leave the orphanage to live independently. He was given a key to a house left by his dead parents, where he encountered a monster. The story tells the estranged companionship…",
Nothing Ever Happen,Hong Kong Movie - 2023,"A Ming rushed home to explain the situation to his girlfriend, Connie, who found out A Ming cheated on her. During the argument, the shame made A Ming angry. He suddenly ran towards Connie and assaulted her, yet she…",
Taste It,Hong Kong Movie - 2023,"Alex plays as a restaurant owner. Under the work-induced stress, his life becomes very hectic. The relationship between him and his mother is becoming more estranged…

(Source: microfilm-music.hk)",
What If,Hong Kong Movie - 2023,"Karen is invited to join a theatre company as a singer. She is attracted by the leader, Ming, who works as the director and protagonist in the performance. After practicing all nighs and days, they fall in love with…",
Perfect Match,Hong Kong Movie - 2023,"Unsure of what she’s looking for in life or in love, Bee enlists an eccentric matchmaker. Every time she thinks her date might be ‘the one’, she finds a fatal flaw. Will she ever find her perfect match? (Source:…",
"Nukero, Mobius",Japanese Movie - 2023,"Sakuragawa Yuko is a contract worker who is fired from her job at a construction company just before she can become a full-time employee due to the so-called “five-year rule” At the age of 24, Yuko returns to college…",
Bless You,Hong Kong Movie - 2023,"""Bless You"" is about a girl, Ophelia, who enjoys her job in the community testing center, with her quirk of getting people sneezing. She loves to draw these interesting, unique faces, capturing these unique moments.…",
Xin Bao Qing Tian Zhi Bing Po,Chinese Movie - 2023,,
The Seven Dog's PDU,Chinese Movie - 2023,"As an outstanding graduate of the police academy, Qian Xiao Tian wanted to join the criminal police team and do a career, but was assigned to the police dog team, and became comrades-in-arms with the police dog ""Jiao…",
Peeking,Korean Movie - 2023,"Is it fun?

(Source: Horror BBababam 호러빠바밤 YouTube)",
Nipponretto Ikimono Cho Densetsu: Gekijo Ban Darwin ga Kita!,Japanese Movie - 2023,"NHK’s nature documentary program “Darwin Is Here!” is back on the big screen for the first time in 15 years and it features animals over the four seasons: a chipmunk stockpiling food for winter, a snow hare running…",
Fomo,Hong Kong Movie - 2023,"“My roof, my rules” — have you been there? From an aspiring entrepreneur to becoming the World’s second Asian Music NFT artist, Jonathan aims to offer an alternative revenue source for other musicians, away from…",
Goldfish,Hong Kong Movie - 2023,Goldfish are ornamental fish trapped in fish tanks for a lifetime. Yet the one who sells goldfish is also trapped at the narrow goldfish shop. Once a goldfish is conscious of doubt in its own identity and starts pursuing…,
2022,Hong Kong Movie - 2023,"Jeung Ji Ling stood up for her friend Yi Yan, but the consequences were unexpected. The bully was injured and admitted to the hospital, and the parents of the other party asked to call the police. The two are in the…",
"Circle, Circle, Circle",Hong Kong Movie - 2023,"Thom repeatedly discarded the jacket, like the moment when Cora was saying goodbye downstairs to Thom on a loop. Just like Thom in Yuen Long late at night, he encountered strangers one after another wearing the same…",
Overman,Hong Kong Movie - 2023,"A young boy successfully transforms into Superman, but he can’t find a way to turn back human.

(Source: microfilm-music.hk)",
Who Killed Annette?,Hong Kong Movie - 2023,"Nette is a detective who struggles with her work and family. At the same time, a pole dance instructor, Annette, is missing. Two women with the same names and similar fates reach an intersection. (Source: microfilm-music.hk)",
Brave New Era,Hong Kong Movie - 2023,"Fei is trapped by the grief of losing her boyfriend Kit in an accident a few months ago. She still feels Kit’s aura surrounding her. While Chau, who has a crush on Fei, accompanies her for channelling sessions in search…",
Couple Breaker,Hong Kong Movie - 2023,"The story is about a girl who was cheated on by her boyfriend and finds a couple breaker to help avenge her boyfriend and seek justice for herself. 

(Source: microfilm-music.hk)",6.0
Her Mother’s Daughter,Hong Kong Movie - 2023,"Unexpectedly pregnant, Hannah couldn’t bear the pressure of life and decided to commit suicide by taking sleeping pills. However, when she was unconscious, a mysterious force brought Hannah to a bar in the 1990s. More…",
Fated,Hong Kong Movie - 2023,"In the Yau Tsim Mong karaoke hall in the 1990s, the singer, Hung Ling, and the student, Fai, were forced to separate due to their different identities. Hung Ling, a popular singer in the karaoke hall, shines brightly…",
My Pineapple Bun,Hong Kong Movie - 2023,"The prince of the tea restaurant who is not doing business, the young proprietress-to-be, the son who came back from the future...the three have different farces due to misunderstandings. The father-son relationship…",
Saying Goodbye to Miranda,Hong Kong Movie - 2023,"Miranda decided to leave for a foreign country to develop her tattoo business. On the day of departure, due to improper arrangements, the time was tight. That morning, she was still moving the belongings at home for…",
Legend of the Lost Souls,Hong Kong Movie - 2023,"Vanilla is a member of a mysterious alien organization that came to Earth to collect human souls. Once, when the soul-absorbing machine broke down while working, the target, Hao Ran, took it to try to help her repair…",
A Touch of Sin,Hong Kong Movie - 2023,"Jack is an air conditioner cleaner. One day, he was hired by a local massage shop for once-time service. After he finished his work, the owner invited him to have a free massage and asked a girl to do a massage for Jack.…",
Defeated,Hong Kong Movie - 2023,"Chloe has gone through numerous auditions for stage plays, but all of them lost the leading role and became a supporting role. After losing the starring role again, her boyfriend Ronald came to find her backstage. Chloe…",
Be Water,Hong Kong Movie - 2023,"Washed off by the waves of emigration, the once prosperous Kuk Po is now a destitute town. On her last night in Hong Kong, Lillian returned to Kuk Po to bid farewell to her grandmother. She ran into her childhood friend…",
"Up, Up and Away",Hong Kong Movie - 2023,"“To be a star, you must shine your own light, follow your own path, and must not fear darkness, for that is when the stars shine brightest.“ Tsz Chun is a shy kid who is always on his own. Facing many hard times…",
Impossible Dreams,Hong Kong Movie - 2023,"Fate is also known as destiny. Fate refers to life, and luck is the course of experience. Gamblers do not believe in fate. They spend their lives fighting against it, imagining that they will become rich overnight, thinking…",
A UFO Intruder,Japanese Movie - 2023,"Taki joins the UFO Research Laboratory (URL) trying to find his wife and children kidnapped by the aliens.

(Source: TMDb)",
Deep Sea Python,Chinese Movie - 2023,,6.5
Resemblance,Thai Movie - 2023,"The mysterious moment when young people gradually disappeared. A young cop, Joe, pursued the truth of the case that most of the fashionistas were missing. A missing rising star who was found before disappeared was with…",
Northeast Zoo,Chinese Movie - 2023,"Sun De You, who has worked in the zoo all his life, has faced the biggest crisis - the zoo will be forcibly acquired, and most likely closed, due to lack of profitability. In order to keep it open, his son Sun Xiao Hu,…",
Spellbound,Filipino Movie - 2023,"Yuri, a beautiful lady who has become a ghost magnet after she survived a vehicular accident back in high school. The constant presence of the ghosts in Yuri's life stirs fear among people dear to her. Even her family…",7.6
The Great Magician,Chinese Movie - 2023,"The Illusion Sect originated in the Shang Dynasty and is divided into five factions: gold, wood, water, fire, and earth. In the early years of the Republic of China, Pei Jing Zhi, a water master, went on a killing spree…",7.5
A Side of a Relationship,Korean Movie - 2023,"> Story 1: ""Fall Out"" (간극) Kyung Ram and Jin Hoon are new independent film directors and actors. Min Seo appears for an interview in front of the two men who look close but feel strange jealousy toward each other.…",
The Shadowless Tower,Chinese Movie - 2023,"Gu Wen Tong, a middle-aged living alone, meets a young photographer Ouyang Wen Hui at work. By chance, Gu Wen Tong learns the whereabouts of his father, who has been missing for more than 40 years. With the encouragement…",7.6
"That Day, on the River",Chinese Movie - 2023,"Searching for the house his father grew up in childhood rural China using a mix of found footage, collage, and animation techniques: a moving account of all the things the father thinks he was not good at. (Source: IMDb)",
Ai Long Nhai: The Endless Love,Thai Movie - 2023,"Movie cut of the series. Ai studied abroad until, after being expelled for quarrelling, his father forces him to return to Thailand where he attends classes at the university where he teaches. There, Ai meets Chen Nhai,…",7.6
Check Out: The Movie,Thai Movie - 2023,"Dao Nuea, recently heartbroken, seeks solace on a vacation at TheAir Khao Yai, where he briefly encounters Nine, who brightens his spirits. However, Nine vanishes for three months, leading Dao Nuea to attempt to move…",6.7
Sweet,Japanese Movie - 2023,"Miwa, a second grader, follows various rules, striving to be a ""perfect child,"" as expected by her mother, Mizuho. On the other hand, her piano teacher, Yuko, encourages her to express herself freely. Miwa's heart is…",8.7
Ork,Japanese Movie - 2023,,7.0
Huyuko’s Summer,Japanese Movie - 2023,"Girls spend their time idly, end up in a field of sunflowers in full bloom, where they come to a crossroads.

(Source: ShortShorts.org)",
Retake,Japanese Movie - 2023,"Kei is asked by Yuu, who has feelings for Honoka, to be the cameraman for an independent movie. As the filming progresses with her friends gathered together, Yu suddenly announces that she wants to quit... (Source: Japanese…",
Gagaland,Chinese Movie - 2023,Small-town kid Boy K is fleeing his job at the duck-down factory when he stumbles into a motley crew of urchins boogieing on the pavement for likes and shares. This is gaga dance: a form of spirited freestyle championed…,
Mang Kanor,Filipino Movie - 2023,"Old businessman who finds himself in a scandal after his sex videos with women went viral.

(Source: IMDb)",
The Legend & Butterfly,Japanese Movie - 2023,"In his early years, Oda Nobunaga picked up the nickname of ""The Fool of Owari"" due to his bizarre behavior. He later married Nohime, but their relationship was not very good. Their marriage came about as a political…",7.5
Atsui Munasawagi,Japanese Movie - 2023,"Chinatsu lives with her mother Akiko in an old house in a port city. They live ordinary lives, but enjoy happy days. Chinatsu has been accepted to an arts university and this keeps her busy. She is currently having a…",7.9
