Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
48,#6875,Cheese in the Trap,Korean Drama - 2016,"Having returned to college after a year long break due to her family's poor background, Hong Seol, a hardworking over-achiever, inadvertently gets on the wrong side of her senior, Yoo Jung, who's athletic, good looking,…",16 episodes,7.4
49,#1377,Secret Garden,Korean Drama - 2010,"The drama tells the story of Kim Joo Won, an arrogant and eccentric CEO who maintains the image of seeming perfection, and Gil Ra Im, a poor and humble stuntwoman whose beauty and body are the object of envy amongst…",20 episodes,8.2
50,#2096,Hwarang,Korean Drama - 2016,The names of just a few Hwarangs are recorded in history. Not many people these days truly know about Hwarangs. How did they start? How did beautiful looking young men become at the center of unifying old Korea's Three…,20 episodes,8.0
51,#1234,Oh My Venus,Korean Drama - 2015,"Kim Yeong Ho is a personal trainer for Hollywood stars. He reluctantly comes back to Korea to face his family after a scandal with an actress. Even though he comes from a wealthy family background, he suffered a devastating…",16 episodes,8.2
52,#56,The Untamed,Chinese Drama - 2019,"Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they…",50 episodes,9.0
53,#1171,Coffee Prince,Korean Drama - 2007,"Choi Han Gyul is the grandson of chairwoman Bang of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han Gyul is hung up on his first love, Han…",17 episodes,8.3
54,#89,The Glory,Korean Drama - 2022,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary…",8 episodes,8.9
55,#155,Twenty-Five Twenty-One,Korean Drama - 2022,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. Na Hee Do is a member of her high school fencing team. Due to the South Korean…",16 episodes,8.8
56,#1104,Oh My Ghost,Korean Drama - 2015,"Bong Sun, a timid young woman, is possessed by the ghost of a lustful virgin. She has zero self-confidence, and because of her extreme shyness, she doesn’t have any close friends. At the restaurant where she works…",16 episodes,8.3
57,#154,The Uncanny Counter,Korean Drama - 2020,It tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.…,16 episodes,8.8
