Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
3131,#1103,Ore no Hanashi wa Nagai,Japanese Drama - 2019,"Kishibe Mitsuru is a 31-year-old single guy. After he graduated from a university, he became absorbed with coffee and opened up a business related to coffee. His business failed. Since then, Mitsuru has been unemployed…",10 episodes,8.3
3132,#7749,Proud of Love,Chinese Drama - 2016,"Shen Xi is a peppy college student majoring in dance and loves to eat just a little too much. She has a boyfriend named Lin Yu Tang, who is very caring and sweet. He Zhi Zhou is an aloof, moody engineering major at a…",20 episodes,7.3
3133,#2917,Lesson in Love,Taiwanese Drama - 2022,New female teacher became a target of a trouble making gifted student's bullying. But their confrontations soon developed a romantic undertone and they began to have a secret affair that played fast and loose with their…,12 episodes,7.9
3134,#3330,The Naked Director,Japanese Drama - 2019,"From his unlikely start as an English encyclopedia salesman, Toru Muranishi casts a charismatic vision that leads Japanese pornography from idealized, substanceless skin flicks to more realistic and story-based encounters.…",8 episodes,7.8
3135,#4951,I Give My First Love to You,Japanese Drama - 2019,"Mayu and Takuma are childhood friends. At age 8, they learn that Takuma will die from terminal illness before he turns 20. Despite knowing this, the two grow older and fall in love. Mayu stays loyal to Takuma even as…",7 episodes,7.6
3136,#7653,Tower of Babel,Korean Drama - 2019,"Cha Woo Hyuk is a prosecutor who started out as a newspaper reporter, whose personality is described as fiery and hot-tempered. He grew up having a comfortable life, but one day his family is shattered when his father…",16 episodes,7.3
3137,#42440,Mr. Plankton,Korean Drama - 2024,"A romantic comedy that depicts the story of people who can’t blend in or connect with anyone, just like plankton. The drama will follow the journey of a man who has no other choice but to be a wanderer because no one…",10 episodes,
3138,#5787,Oh My Lord,Chinese Drama - 2022,"Can a romance bloom between the bright and cheerful Chen You You and the unpredictable Lord Qian Sui, Bai Li, whom she had to marry? Bai Li is the great eunuch who is highly relied upon by the city lord. Lord Qian has…",15 episodes,7.5
3139,#3570,Mr. Fighting,Chinese Drama - 2019,A story about the little people in society who join hands to help an actor regain his fame and find warmth with each other during trying times. Hao Ze Yu debuted 10 years ago through a talent competition. The years have…,45 episodes,7.8
3140,#4333,Scandal,Korean Drama - 2013,"Ha Eun Joong, a detective at Gangnam Police station. He became a detective to try to understand his dad better, who was an ex-detective. However, he discovers that his father, Myung Geun, actually kidnapped him when…",36 episodes,7.7
3141,#10644,Beyond the Star,Thai Drama - 2023,"The story of KJ Agency, a well-known agency plans to create and produce a series. Including the artists development therefore gathering young people who have dreams Join the ""Beyond The Star"" project to develop capabilities…",8 episodes,5.8
3142,#42693,Perfect10 Liners,Thai Drama - TBA,"Arm, a new engineering student, manages an online fan page featuring campus heartthrobs. His feud with Ark, a senior in the elite 'Divine Peers' group, escalates when Arm posts Ark's photos without consent. Ark has feelings…",30 episodes,
3143,#7899,Dr. Champ,Korean Drama - 2010,"Kim Yeon Woo is an orthopedic doctor who takes up a new post at Taereung National Village, the training center for national Olympic athletes, after she is fired from her previous job. She becomes romantically involved…",16 episodes,7.2
3144,#2715,Secret Mother,Korean Drama - 2018,"This is a drama based on women who live in Daechi-dong, the center of child education. Kim Yoon Jin has been living comfortably with her husband’s care, but to provide a better education for her son, she decides to…",32 episodes,7.9
3145,#5554,My Wife's Double Life,Chinese Drama - 2024,"The legendary thief marries into the Xu family, thus starting a battle of wits and will with a stone-faced inspector. Caught in a cat-and-mouse game, the two natural enemies learn to become husband and wife. The real…",24 episodes,7.5
3146,#3295,Should We Kiss First?,Korean Drama - 2018,Four adults who have lost faith in love find a way to begin again. Son Moo Han is the managing director of an advertising company. Ahn Soon Jin is a flight attendant who lost her daughter. The drama shows the not-so-innocent…,40 episodes,7.8
3147,#1085,Ping Pong Life,Chinese Drama - 2021,"Endless competitions take place on the ping pong tables with two young men at the center. Xu Tan is physically weak but strongly passionate and Yu Ke Nan is unruly but talented. Despite their opposite personalities,…",44 episodes,8.3
3148,#42513,What Comes after Love,Korean Drama - 2024,"Choi Hong is a Korean student studying in Japan. She meets Aoki Jungo, and they fall in love with each other. But, they break up due to different thoughts about love and practical problems. Five years later, Hong and…",6 episodes,
3149,#8984,Hot and Sweet,Korean Drama - 2016,"The romantic-comedy tells the story between a pretty boy food truck owner who settles in a spot by the Gangwon beach, and the mysterious and wacky lady he meets.

(Source: IMDb)",8 episodes,7.1
3150,#9636,Binbo Danshi,Japanese Drama - 2008,"Koyama Kazumi is a poor but optimistic college student who firmly believes that there are more important things than money. Despite his own poverty, he ends up taking on other people's debts and faces various challenges…",9 episodes,6.9
3151,#41843,Smoking Gun,Korean Drama - TBA,“Smoking Gun” is an espionage action thriller about a former South Korean agent with memory loss and a North Korean secret agent who is trying to kill him as they carry out an intense chase in order to stop a terrorism…,16 episodes,
3152,#4456,Under the Gun,Korean Drama - 2024,"When the honor of his family is tarnished, Go Gun is faced with a difficult decision. The son of a professional poker player, Gun knows just how damaging the profession can be, yet joining the Korean Poker League may…",6 episodes,7.7
3153,#6703,Which Star Are You From?,Korean Drama - 2006,"Seung Hee, after losing his girlfriend in a tragic accident, left for 3 years. When he came back, he sought to make a film in a rural area. Someone caught his eye - Bok Shil, who looks exactly like his deceased girlfriend,…",16 episodes,7.4
3154,#7715,Are You Ready? Hey You Girl!,Japanese Drama - 2018,"Furuya Towa is a handsome guy who has always had girl admirers, but has never had a girlfriend and remains a virgin. He resolves that he will get a girlfriend, and casually picks the cool and beautiful freshman Misono…",5 episodes,7.3
3155,#6578,Rich Family's Son,Korean Drama - 2018,"Lee Gwang Jae is a rich boy that inherits a huge amount of debt and struggles to pay it back to save his father’s reputation. By his side is Kim Young Ha, a dauntless girl who fully supports him. This is a TV series…",100 episodes,7.4
3156,#2212,The Love Proposal,Thai Drama - 2022,"Treenut got to know Time because of an accident that happened to Treenut’s student. This impressed Time and he came to see her more often. However, Time was afraid to tell Treenut that he loved her because he still…",15 episodes,8.0
3157,#8763,Part Time,Thai Drama - 2016,"The story focuses on university level students who must find part-time jobs to finance their lives. As the relationships and interactions formed challenges are faced that range from finances, to work- school balances,…",26 episodes,7.1
3158,#1704,Mama,Korean Drama - 2014,"A single mom who has been only focusing on making money and achieving fame suddenly finds out she has a time-limited life. All her life, she has been neglecting her only son so she now wishes to spend the rest of her…",24 episodes,8.1
3159,#9487,Attic Cat,Korean Drama - 2003,"Kyung Min, a law student, is in desperate straits, so he decides to take it upon himself to help Hye Ryun's poor friend, Jung Eun. This is the beginning of an extremely volatile friendship that somehow ends with the…",16 episodes,6.9
3160,#1693,Miman Keisatsu: Midnight Runner,Japanese Drama - 2020,"Meet Honma Kai and Ichinose Jiro, police academy cadets. The intellectual Honma favours a theoretical approach to policing. He is a serious A-student with an analytical mind and excellent memory, which allowed him to…",10 episodes,8.1
3161,#698,Hwarang Special,Korean Special - 2016,The behind-the-scenes story of the production process and interviews with the actors in a talk show format.,1 episodes,8.4
3162,#1220,Nagi no Oitoma,Japanese Drama - 2019,"28-year-old Oshima Nagi works for a home appliance manufacturer in Tokyo. She conforms to her surroundings as she constantly gauges people’s moods. Because of that, her goal is to pass each day without incident. However,…",10 episodes,8.2
3163,#2122,A Gift to the People You Hate,Thai Drama - 2019,"The shop of a certain person wearing a mask sells gifts for people that you hate. There are four levels of gifts; making the receiver ashamed, scaring the receiver, hurting the receiver, and making the receiver die.…",10 episodes,8.0
3164,#2533,Our Times,Chinese Drama - 2021,"With the development of information in the early 1990s, two IT guys started out secretly making Chinese character cards. They catch the attention of the director of the computer science institute and go on to become…",36 episodes,7.9
3165,#777,Youth With You Season 2,Chinese TV Show - 2020,"Cai Xu Kun was the center in ""Idol Producer,"" making his debut in the group, 9 Percent. In this upcoming season, Cai Xu Kun replaces Lay as the PD. The mentors for this season are: Lisa (from girl group Blackpink) ,…",24 episodes,8.4
3166,#9935,Brown Sugar Macchiato,Taiwanese Drama - 2007,"One day, six boys with different personalities and backgrounds are notified they shared the same father. And on top of that, they are entitled to a large inheritance. There is only one catch. They must attend the same…",13 episodes,6.8
3167,#1413,Ode to Joy Season 2,Chinese Drama - 2017,Who will Andy end up with? Will Fang Sheng Mei finally be happy? Will Qu Xiao Xiao and Zhao Qi Ping end up together? Will Qiu Ying Ying and Yi Qing be in a relationship?,55 episodes,8.2
3168,#10041,Sword and Flower,Korean Drama - 2013,"Knife and Flower, an action/spy/romance drama, is set in the Koguryo period. It is about how Moo Seol, the daughter of King Young Ryu, falls in love with Yeon Choong, the child Yeon Gaesomun had with a concubine. But…",20 episodes,6.7
3169,#4102,Mother of Mine,Korean Drama - 2019,"This drama is about a story of a mother and three daughters living in modern-day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who…",108 episodes,7.7
3170,#6290,The Most Beautiful You in the World,Chinese Drama - 2021,"When Qiao Yibai ran away from home in junior high, the young teen who came from a wealthy family ended up in the home of Wang Yuhuan who is a little bully in her own right. Because of her, Qiao Yibai is forced to change…",24 episodes,7.4
3171,#8785,Endless Love,Korean Drama - 2014,"A drama about Korean politics and financial situations in the 1970-1990s through the life of a woman. After a traumatic past of witnessing her mother's death, Seo In Ae grows up as an ambitious woman with a sharp mind…",37 episodes,7.1
3172,#657,Recipe for Farewell,Korean Drama - 2022,"Chang Wook is in his 40's. He works as a translator and a humanities instructor. His wife suffers from terminal bowel cancer. She also has difficulties eating, because of digestive problem. She asks Chang Wook to cook…",12 episodes,8.4
3173,#4000,Hormones Season 3,Thai Drama - 2015,"The seniors have graduated from Nadao Bangkok High School, leaving a legacy for the next generation to build upon… Another school year has arrived, and the “wounds” caused by just living and learning are still…",13 episodes,7.7
3174,#8100,Papadol!,Japanese Drama - 2012,"The story revolves around Ryo who secretly marries an older, single mom; a marriage that he has to keep as a secret or his idol career will come to an end.

(Source: Aramatheydidnt.livejournal.com)",10 episodes,7.2
3175,#8311,Tarot,Korean Drama - 2024,"“Tarot” unfolds as a series of seven omniverse horror episodes delving into mysterious events that could be part of anyone’s everyday life, all centered around the theme of tarot cards. The plot kicks off as the…",7 episodes,7.2
3176,#9969,Tie the Not,Filipino Drama - 2023,"Briggs is a simple guy who never got a chance to fall in love because of his responsibilities in their bridal car business, then love finally struck when he met Shao. The problem is Shao is set to be wed with Louise…",8 episodes,6.7
3177,#988,The Secret of Us,Thai Drama - 2024,"Dr. Fahlada, whose alias is angel doctor, was left with a scar on her heart by old love, causing her to be unable to open up for someone anymore. She's reunited with free-spirited Earn, the ex-girlfrend who hurt her…",8 episodes,8.3
3178,#7055,Bride's Revenge,Chinese Drama - 2023,"Ye Qing Lan, the only daughter of the second branch of the Ye family, was framed by the former eldest young master of the Mu family. Then she becomes an unwilling bride to wash away bad luck, which ensues in revenge.…",30 episodes,7.3
3179,#5179,Twelve Legends,Chinese Drama - 2021,"A creature born from a stone falls in love with a mythical woman and their romance spans two thousand years. Jin Xing Jian, who was once a stone has turned into an extraordinary existence that makes him both similar…",32 episodes,7.6
3180,#41754,Your Star,Thai Drama - TBA,"This series revolves around a homophobic man. He wishes that all the gay people in the world could just disappear. However, he is shocked to discover that his own dear younger brother is gay, and in a relationship with…",N/A,
3181,#6602,Please Be Married,Chinese Drama - 2021,"Ye Xiang Ge is a trainee at Linshan Entertainment. Before she made her official debut, she was caught up in a big scandal planned by her own good friend, and her company decided to terminate the contract. After being…",30 episodes,7.4
3182,#4537,Doctor Detective,Korean Drama - 2019,"Do Jung Eun works as an industrial health doctor. She partners with Doctor Heo Min Ki to uncover the truth related to industrial accidents, diseases and other incidents that take place at industrial sites. Do Jung Eun…",32 episodes,7.6
3183,#2551,My Love Eun Dong: The Beginning,Korean Special - 2015,My Love Eun Dong: The Beginning is a web-drama that will show more about the love of the main characters of My Love Eun Dong during their mid-teens and mid-twenties.,5 episodes,7.9
3184,#4107,Martial Universe Season 2,Chinese Drama - 2018,"The story occurs after Lin Dong and Zhou Tong have joined hands to defeat the enemy. Evil lingers as Yi Mo Huang survives, and the search for the two remaining talismans continues. After witnessing Ying Huan Huan sacrifice…",20 episodes,7.7
3185,#1810,The Most Beautiful Goodbye,Korean Drama - 2017,An ordinary middle-aged woman has devoted her life to her family. She is diagnosed with terminal cancer and must prepare her goodbye to her family.,4 episodes,8.1
3186,#47,To Do X TXT,Korean TV Show - 2020,"The first-ever, original variety show featuring TOMORROW X TOGETHER and their bubbly personalities off the stage!

(Source: Weverse official Twitter)",144 episodes,9.0
3187,#1225,Three-Body,Chinese Drama - 2023,"A nanomaterials expert sees a mysterious countdown superimposed in his field of vision and finds himself under military investigation. To unravel the mystery, he enters the VR game ""Three-Body"" developed by a secret…",30 episodes,8.2
3188,#3528,Candle in the Tomb,Chinese Drama - 2016,"There is an old Chinese saying, ""A human lights the candle and the ghosts blow it out."" Hu Ba Yi is well versed in Feng Shui with specialization in tomb configuration, which he learned from an antique book he inherited…",21 episodes,7.8
3189,#10573,Kiseki Chapter 2,Thai Drama - 2024,"It's autumn in Tokyo, and when P, a long-time resident, takes his best friend Beboy on a sightseeing tour. They are unexpectedly joined by twins Pan and Plai. The four guys spend time together in the city, making precious…",6 episodes,6.2
3190,#1420,19th Floor,Chinese Drama - 2024,"Unconscious after a car accident, university student Chun Yu and her best friend Qing You mysteriously find themselves inside the dangerous world of a VR game. Several other people have also unwittingly ended up here,…",30 episodes,8.2
3191,#3340,L.O.R.D. Critical World,Chinese Drama - 2019,"As the 7th duke, Yin Chen has the ability to wield the power of the wind, fire, water and earth. As he tries to protect his disciple Qi Ling, he uncovers an earth-shattering secret. During the 15th century B.C., the…",48 episodes,7.8
3192,#4617,Love Me Like I Do,Chinese Drama - 2023,"When Liu Xi Lai and Tian Tian first met it was like a meteorite hitting Earth. And yet Xi Lai found that this girl who challenged him seemed to be the only thing that could stop himself from fainting, so he decided to…",18 episodes,7.6
3193,#7616,Almost Lover,Chinese Drama - 2022,"He Xiao Ran is the MC of a late-night radio show. But events that tainted the last few years of her life as a student still haunt her. She secretly loved Xiao Shang Qi , a close male friend. But instead of ending up…",36 episodes,7.3
3194,#5455,"Thank You, Doctor",Chinese Drama - 2022,"A story that follows doctors of the newly-established EICU who rely on their medical expertise to save every patient. Overcoming differences, they pour their hearts and soul into preserving life. Returning from abroad,…",40 episodes,7.5
3195,#9223,Cruel Love,Korean Drama - 2007,"Na In Jung was a successful orchestra cellist in her 20s, a nice, kind girl lacking nothing. She met a handsome stranger, a successful businessman, Lee Soo Hwan and fell in love at first sight. Their short romance was…",20 episodes,7.0
3196,#1123,Shinya Shokudo,Japanese Drama - 2009,"Set in a small restaurant in the corner of a shopping district. The unusual eatery is only open after midnight, and its standard menu consists of just a single choice. However, the customers still come for the amusing…",10 episodes,8.3
3197,#5741,My Queen,Taiwanese Drama - 2009,"What will happen when Shan Wu Shuang, a 33 year old beautiful, hardworking yet single woman, meets Lucas, a 25 year old romantic and handsome regular worker? There is an 8 year age difference - what kind of story would…",21 episodes,7.5
3198,#5323,All In,Korean Drama - 2003,"As a kid, all Kim In Ha ever did was follow his uncle around and help him cheat in gambling. As a high school student, he hung out with his friends at the basement of a theater. As Kim In Ha gets to know Choi Jeong Won,…",24 episodes,7.6
3199,#1374,High&Low: The Story of S.W.O.R.D. Season 2,Japanese Drama - 2016,"In the second season, the mysterious team “Mighty Warriors”, that made its appearance in the last episode of the first season, finally starts to move, dragging all the teams of SWORD in chaos. Furthermore, episodes…",10 episodes,8.2
3200,#1127,Descendants of the Sun: Recap Special,Korean Special - 2016,Special containing highlights and best scenes from the previous episodes.,2 episodes,8.3
3201,#42407,The Trunk,Korean Drama - 2024,"""Trunk"" follows the lives of Noh In Ji, head of a fixed-term marriage service agency named NM that fixes its clients a marriage life with their dream spouses, and the music producer Han Jung Won. Neither of them agrees…",8 episodes,
3202,#10221,109 Strange Things,Korean Drama - 2017,"When a robot comes from the future, will a philosophy major understand the significance of it? KDI-109, a robot from the future. He ends up living in the home of Shin Ki Won, a fourth-year college student who is studying…",6 episodes,6.6
3203,#6241,Heaven's Order,Korean Drama - 2013,"The Joseon version of a Chaser about a medical practitioner who struggles to save his daughter from a terminal illness while being caught up in a plot to poison King Injong. Royal Physician Choi Won, who works for the…",20 episodes,7.4
3204,#2767,Kanojo wa Uso wo Aishisugiteru - Sidestory,Japanese Drama - 2013,These are the stories from before Aki and Riko met. Each side story is narrated by different character.,10 episodes,7.9
3205,#5700,Ugly Duckling Series: Boy's Paradise,Thai Drama - 2015,"Happily living alone in her family’s pension, Mami vows to die before dating a man, after her mother catches on to her secret girl crush. So her mother rents out the house to three guys in hopes to bring her daughter…",9 episodes,7.5
3206,#1892,Ototo no Otto,Japanese Drama - 2018,"Yaichi is a work-at-home suburban dad in contemporary Tokyo; formerly married to Natsuki, father to their young daughter, Kana. Their lives suddenly change with the arrival at their doorstep of a hulking, affable Canadian…",3 episodes,8.1
3207,#473,BTS GAYO,Korean TV Show - 2015,"BTS Gayo is a South Korean show by the boy band BTS. The show is all about BTS doing activities linked to K-Pop.

(Source: BTS Wiki)",15 episodes,8.5
3208,#4616,Damo,Korean Drama - 2003,"This series and our heroine took place in the Joseon Dynasty. Chae Ok was separated from her brother when her father, a nobleman, was accused of treason. She managed to make her way and becomes a Damo, a low ranked woman…",14 episodes,7.6
3209,#4009,Tokyo Bandwagon,Japanese Drama - 2013,"The somewhat peculiar Hotta family runs Tokyo Bandwagon, a secondhand bookstore and cafe in the old part of Tokyo. They are a big four-generation family that is rare these days. The Hottas live by rather unusual family…",10 episodes,7.7
3210,#1417,Roommate Season 2,Korean TV Show - 2014,"A new season of Roommate was announced following the departure of several members. This season's concept is Home share, Whole share, where the members not only live together but learn and share from each other. The new…",26 episodes,8.2
3211,#2234,Fermat no Ryori,Japanese Drama - 2023,"Kitada Gaku is gifted in mathematics. He dreamed of becoming a mathematician, but he gave up on his dream. He now spends his days without purpose. One day, he happens to meet a genius chef named Asakura Kai. Asakura…",10 episodes,8.0
3212,#42275,The Witch,Korean Drama - TBA,"The story of a man who fell in love with a woman called a 'witch'. Park Mi Jeong is a woman who wears pretty clothes and enjoys complete freedom. She became a translator by taking advantage of her English skills, which…",10 episodes,
3213,#4040,Angel Beside Me,Thai Drama - 2020,Lin is a poor girl who is on the verge of suicide when suddenly been interrupted by a loud crash through the ceiling of her room. An angel known as Michael Lansaladon fell from heaven after observing Lin’s attempt…,12 episodes,7.7
3214,#6543,Pretty Man Season 2,Chinese Drama - 2019,"The tale of renowned movie star Lu Jin Nian and rising entertainment sensation Qiao An Hao, harboring a secret love for eleven years. Despite hardships, they eventually tie the knot, expecting a blissful life together.…",26 episodes,7.4
3215,#251,BLACKPINK House,Korean TV Show - 2018,"BLACKPINK House will follow the four members of BLACKPINK as they move into their new dorm, where they’ll be spending 100 days of vacation.",12 episodes,8.7
3216,#1348,Ordinary Greatness,Chinese Drama - 2022,"The story follows four fledgling police officers from Balihe police station – Li Da Wei, a ""thorn head"" who was sent to the police school by his parents because he was too rebellious; Yang Shu, a rigid and upright…",38 episodes,8.2
3217,#2408,Return of the Condor Heroes,Chinese Drama - 2006,"The story concerns the adventures of Yang Guo, an orphaned boy in a mid-13th Century China. From his humble beginnings, the street wise Yang Guo gets passed around from one prestigious master to another but none of them…",41 episodes,8.0
3218,#9937,Advertising Genius Lee Tae Baek,Korean Drama - 2013,"Jin Gu, as the Art Director prodigy Lee Tae-baek, will portray the rise of the ‘loser’ with no credentials to the top of the industry. Park Ha-sun will portray the role of the intern copywriter Baek Ji-yoon of the…",16 episodes,6.8
3219,#4856,Good and Evil,Chinese Drama - 2021,"An exiled demon king and an unlucky princess weave through the memories of various spirits and monsters recorded in a mysterious book. Banished from the heavens to Hundred Spirits Lake, Chun Yao is now its king of monsters.…",32 episodes,7.6
3220,#3808,Seal of Love,Chinese Drama - 2022,"Fu Sheng rescues captive demon Jing Yuan from immortal disciples in Fengming Mountain and takes him in as her disciple. When Immortal Lord Qing Chen comes to the demon realm to rescue the immortal disciples, he finds…",24 episodes,7.7
3221,#8025,Longing for Spring,Korean Drama - 2014,"Mal Ja, who is a part-time worker for the Korean Racing Authority, loves all living creatures but has experienced trauma with horses. Pebble, her best friend, would like to be more than friends and feels threatened by…",4 episodes,7.2
3222,#5652,Emperor or Boss,Chinese Drama - 2021,"On Fu Bao's 24th birthday, she accidentally got a wish note. There, she casually wrote down the wish to sleep with her handsome boss, but did not expect it to become reality. The next day, just when Fu Bao intends to…",18 episodes,7.5
3223,#8966,Corner With Love,Taiwanese Drama - 2007,"Xin Lei, a girl from a wealthy family, and Qin Lang, a guy who came to Shanghai to pursue his dream of becoming an artist, meet by accident at a corner when her car and his bike crash into each other. They meet again…",16 episodes,7.1
3224,#6866,Feast of the Gods,Korean Drama - 2012,"Set within the backdrop of a traditional royal cuisine restaurant named Arirang, two women grow as chefs through competitions with each other.",32 episodes,7.4
3225,#137,Show!terview with Jessi,Korean TV Show - 2020,"Jessi is a Korean-American rapper and singer who brings a new style of talk show to South Korea. She is cheerful, straightforward, bold and witty with the hottest singers, actors and personalities in the industry. Jessi…",95 episodes,8.8
3226,#5219,Show Window: The Queen's House,Korean Drama - 2021,"From the outside, Han Sun Joo’s life has always appeared to be nothing short of perfect. Born into a wealthy family, Sun Joo and her younger brother, Han Jung Won, were raised without a care in the world. Now as adults,…",16 episodes,7.6
3227,#6669,Cubic,Thai Drama - 2014,The father of Ruthainark is in debt with a man called Lin Lang Ser who is a well known member of the Hong Kong mafia. As the ugly duckling of the family Ruthainark is a very intelligent student but cannot compare with…,16 episodes,7.4
3228,#42077,Echo of Her Voice,Chinese Drama - TBA,"Everyone in the Great Dongsheng Continent has a good ear for music. Young master Yun Mu is known for his love of music but no one is aware of his terrifying secret. While on the way to Yunyao to recruit musicians, Yun…",24 episodes,
3229,#41686,City of Stars,Korean Drama - TBA,"About a friendship between astronauts, conflicted by differing patriotic loyalties. Two starry-eyed boys dream of exploring space since childhood. As adults, they are selected to be potential astronaut candidates for…",16 episodes,
3230,#4118,Drama Special Series Season 3: Sirius,Korean Special - 2013,"""Sirius"" revolves around Identical twin brothers Eun Chang and Shin Woo. When they were teens, Eun Chang was a bright and popular kid, but went to jail because of Shin Woo. Since then, his life has changed completely.…",4 episodes,7.7
3231,#18,Run BTS! 2022 Special Episode: Telepathy,Korean TV Show - 2022,"""Run BTS!"" is back after a 10-month break! In this special two-part episode, BTS play a series of ""telepathy games"" to test how in tune they are with each other.

(Source: Wikipedia)",2 episodes,9.2
3232,#4830,My Classmate from Far Far Away,Chinese Drama - 2018,"Xuan Mo is an ordinary high school girl till the day she is unexpectedly possessed by a female marshal from an alien civilization. Her outstanding ability amazes everyone around her. However, the highly intelligent female…",24 episodes,7.6
3233,#9318,"Take Care of Us, Captain",Korean Drama - 2012,"The drama began filming with location shoots in Australia and unfolds around the character growth, careers, and romances of those working at an airport. Kim Yoon Sung is the talented pilot of a passenger airline who…",20 episodes,7.0
3234,#3833,I Know I Love You,Chinese Drama - 2023,"Florist Xu Nuo is jaded by a decade of unsuccessful romance. Her life seems to have ground to a juddering halt, but her family wants her to marry a man she has no feelings for. Her path crosses with that of Zhao Jin,…",24 episodes,7.7
3235,#4476,Stock Struck,Korean Drama - 2022,"Five people who invested in the stock market take part in a mysterious stock meeting. There, they learn about life, love, and friendships through investing in stocks. Yoo Mi Seo is set to marry very soon. She's new to…",12 episodes,7.7
3236,#6628,Five,Japanese Drama - 2017,"Hina has repeatedly transferred schools due to her father's job and has always dreamed of a normal high-school life. At her new school, however, she finds that her class is comprised solely of guys! On top of that, five…",8 episodes,7.4
3237,#7496,UMG,Thai Drama - 2023,"Erng was Mew’s first love. After she disappeared one day suddenly, he was not able to move on. Ten years later, just when he was ready for the idea of moving on, his first love has returned. However, there is something…",12 episodes,7.3
3238,#7047,Guardians of the Ancient Oath,Chinese Drama - 2020,"In ancient times, the demon Jiu Ying causes chaos in the world. The five deity lords - Metal, Wood, Water, Fire and Earth combine their powers to seal Jiu Ying but sacrifice themselves. The spirits of the deities scatter…",45 episodes,7.3
3239,#892,War of Faith,Chinese Drama - 2024,"Set in 1930s Shanghai, Wei Ruo Lai, an ordinary employee at the Kuomintang Central Bank, rises through the ranks due to his exceptional abilities, catching the attention of the senior advisor Shen Tu Nan. However, as…",38 episodes,8.3
3240,#9172,"Please Remember, Princess",Korean Drama - 2013,"In the romantic comedy 'Please Remember, Princess,' Sungyeol plays the character Gi Yeok, an engineering major who devotes all of his love in order to win over his ideal type Min Ah. Jihyun plays Min Ah, who is a dance…",12 episodes,7.0
3241,#5520,Risou no Musuko,Japanese Drama - 2012,"Suzuki Umi raised her son Daichi singlehandedly while she worked. Daichi is a high school student and mummy’s boy who has been raised as the perfect, obedient son. He loves his mother and is a high achiever who tries…",10 episodes,7.5
3242,#5815,Cry Me A River of Stars,Chinese Drama - 2021,"Handsome Magistrate Tao arrives in Biyun County, the so-called “Backyard of the Imperial Family”, planning a visit to a barge for an old case. He meets A Fan, the loyal, frank and quirky barge owner who is pleased…",24 episodes,7.5
3243,#3529,"Hold On, My Lady",Chinese Drama - 2021,"The domineering female bandit Bai Yun Feng led Chen Da Wan and her brothers in a vain attempt to hijack the birthday gift given by General Hu Shou to Shang Shu Hu Bu. However, they fumbled and were caught by General…",12 episodes,7.8
3244,#10087,My Strawberry Film,Japanese Drama - 2024,"High school sophomores Ryo, Hikaru, and Chika are living a seemingly peaceful high school life while harboring hidden emotions. One day, Hikaru and Chika find 8mm film in an old warehouse inside the school. A stunning…",8 episodes,6.7
3245,#3167,The Romance of the Condor Heroes,Chinese Drama - 2014,"The story revolves around the protagonist Yang Guo and his lover, Xiao Long Nu, in their adventures in the pugilist world, which disapproves of the taboo love between master and apprentice. ~~ Adapted from the novel…",54 episodes,7.8
3246,#5132,The Legend of Zu,Chinese Drama - 2015,"Zhuge Yu Wo is the leader of the Mt. Zu Sect, a highly prestigious sect in Jiang Hu (martial art world). In order to protect the world from catastrophic chaos, he battled against the evil villain Green Cape, who stole…",56 episodes,7.6
3247,#3056,"Present, Is Present",Chinese Drama - 2024,"Wei Zi Qi, the carefree heir of a wealthy family, finds himself in a fierce power struggle to gain control of his father’s firm. His antics often test the patience of his diligent executive assistant, Yuan Xia. However,…",16 episodes,7.8
3248,#4074,Hammer Session!,Japanese Drama - 2010,"Two prisoners managed to escape after the police truck carrying them crashed. One of them ,is a gangster. The other called ""Otowa YonKo"" - our protagonist - is a con artist whose cheats money from criminals or terrorists.…",11 episodes,7.7
3249,#2272,Tonari no Kazoku wa Aoku Mieru,Japanese Drama - 2018,"A scuba diving instructor, Nana and an ordinary salaryman, Daiki live together in a small apartment. After purchasing a 'corporative' house together in a residential complex, they soon decide that they want to conceive…",10 episodes,8.0
3250,#9709,Scarlet Heart Season 2,Chinese Drama - 2014,"Zhang Xiao is a Southerner who moved to Beijing to work as an OL, with dreams of romance and a stable job. By coincidence, she gets a job at a conglomerate ‘Zhen Tian'. Like all newbies, she’s bullied and stepped…",39 episodes,6.8
3251,#10404,Manny,Korean Drama - 2011,"Tall, with a perfect figure and his qualifications as an Ivy League graduate, Lee Han is Seoul's top male nanny. He is employed by Seo Do Young as a live-in nanny to look after her two young children, Eun Bi and Jung…",16 episodes,6.4
3252,#8263,"Tsumari Suki tte iitai n Dakedo,",Japanese Drama - 2021,"The story centers on Chitose, a former bullied girl who became a talent manager. The celebrity she is put in charge of is a domineering actor who was a bully as a child. (Source: MyDramaList) ~~ Adapted from the manga…",12 episodes,7.2
3253,#1673,The Queen's Classroom,Japanese Drama - 2005,"A new school year begins at Hanzaki Elementary School, and there's a new mysterious teacher named Akutsu Maya in grade 6, class 3. Meanwhile, Kanda Kazumi is now entering the 6th grade and is filled with excitement about…",11 episodes,8.1
3254,#97,Monsta X - Ray Season 1,Korean TV Show - 2017,Monsta X's variety show where in episode they have different challenges.,6 episodes,8.9
