Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#2187,Colourful Bone,Chinese Drama - 2017,54 episodes,Changing one's face is full of uncertainties. It is difficult to determine whether such a technique is good or bad and whether it will bring good fortune or ill will to those that use it. The Kingdom of Chu has always…,7.7
#2188,Love Behind the Melody,Chinese Drama - 2022,24 episodes,"As a talented pipa player, Li Sa Sa has performed on many different stages. But when, during one of her performances, she finds herself magically transported into the Sheng Dynasty, she finds herself taking the spotlight…",7.7
#2189,Nice to Meet You,Chinese Drama - 2019,53 episodes,"An aspiring jewelry designer's dreams are nearly shattered by a sinister plot against her. Her path collides with the heir to a prestigious jewelry empire, sparking a passionate love story. Gao Jie's lifelong ambition…",7.7
#2190,Dhevaprom: Kwanruetai,Thai Drama - 2024,14 episodes,"A doctor from a noble family and a girl with an unrevealed past—will they ever fall in love amidst a fight against drug trafficking? Kind, generous and hardworking Kwanruetai is the daughter of M.L Maratee Dhevaprom,…",7.8
#2191,"Yes, Her Majesty",Chinese Drama - 2023,20 episodes,"After 3 days in a coma due to a near-drowning incident, the ruler of Great Yan, Emperor Yue Li Zheng, finally wakes up - sadly without her memories. She is soon back to work reading memorials and handling relevant issues…",7.7
#2192,You Raise Me Up,Korean Drama - 2021,8 episodes,"It is a story about Do Yong Sik, who is experiencing a decreased sex drive in his 30s, as he reunites with his first love, Lee Ru Da, who is his urologist. 31-year-old Do Yong Sik is preparing for his civil service examination.…",7.7
#2193,Tae Pang Korn,Thai Drama - 2017,21 episodes,"When Thai prince Khun Chai Yai returns from England, he finds himself arranged to be married to Thai princess, Wilailayka, but ends up falling in love at first sight with a Lao princess, Jao Nang Noy, who is staying…",7.7
#2194,Sweet First Love,Chinese Drama - 2020,24 episodes,"When she was only seven, Zhuo Yifeng witnessed both of her parents' death from a car accident. The extreme trauma causes her to suffer from selective amnesia as she completely blocks out her past experience. Zhuo Yifeng's…",7.7
#2195,35-sai no Shojo,Japanese Drama - 2020,10 episodes,"After a sudden accident in 1995, 10-year-old Imamura Nozomi goes into a coma. Twenty-five years later, in 2020, Nozomi wakes up. Although she is 35 years old, she still acts like she's ten years old. The world has changed…",7.7
#2196,Angel Beside Me,Thai Drama - 2020,12 episodes,Lin is a poor girl who is on the verge of suicide when suddenly been interrupted by a loud crash through the ceiling of her room. An angel known as Michael Lansaladon fell from heaven after observing Lin’s attempt…,7.7
#2197,Prissana,Thai Drama - 2000,16 episodes,"Prissana takes place in 1938 in Phra Nakhon, Thailand, during a time when men and women were not equals. Marriage for women meant security, not love. Prissana is the youngest daughter of four girls and was the only one…",7.7
#2198,Lost Track of Time,Chinese Drama - 2022,30 episodes,"The moment she opened her eyes, ten years of bloody wind stirred Lu An Ran's heart. In this world, the peach blossoms are still there, but she is reborn with hatred and is no longer innocent. The unsuccessful person…",7.8
#2199,A Boss and a Babe,Thai Drama - 2023,12 episodes,"Cher is a gamer who wants to make it big in the e-sports industry. During his senior year of university, he gets an internship with a crumbling gaming company. There, he attracts the intention of his boss Gun who has…",7.7
#2200,Shiko Funjatta!,Japanese Drama - 2022,10 episodes,"Moriyama Ryota, a senior at Kyoritsu University, receives a job offer at a first-rate company but gets dumped by Nishino Saki. His professor tells him that he can graduate on the condition that he joins the sumo club…",7.7
#2201,Romantic,Chinese Drama - 2023,22 episodes,"Lin Yan suffered the betrayal of her fiancé Ma Cheng Jun and her best friend Wen Li Li, and accidentally fell into a vegetative state soon after. When she wakes up from it, Lin Yan, who has no real power, pretends to…",7.7
#2202,Ending Again,Korean Drama - 2020,12 episodes,"While working as a marketing intern at the Levan Art Museum, Cha In Young may not be living the dream life, but she’s certainly on her way to making her long-term dreams come true. At least that was what she thought…",7.7
#2203,Love Is Deep,Chinese Drama - 2019,40 episodes,"To like someone is to love lightly, but loving someone means liking deeply. In this realistic tale of healing, Zheng Ding Ding has been in a long-term relationship with Chen Xun. She's sacrificed her dream of designing…",7.7
#2204,Kiwadoi Futari: K2: Ikebukurosho Keijika Kanzaki Kuroki,Japanese Drama - 2020,6 episodes,"Featuring two detectives who investigate brutal crimes in Ikebukuro who happen to share a secret... Ryuichi Kanzaki is guided by his strong morals and a belief in the good in people. On his first day at work, his assigned…",7.7
#2205,Kono Koi Atatamemasu ka,Japanese Drama - 2020,10 episodes,"Kiki Inoue works part-time at a convenience store, spending the better part of her day lazing about or reviewing sweets on her social media account. One day at work, she is introduced to the chain’s CEO, Takumi Asaba,…",7.7
#2206,The Origin of Eternity,Chinese Drama - 2022,23 episodes,"Qing Huan is a charming, stubborn little iris fairy who is adorably infatuated with Bai Ze, the powerful and aloof god of the Heavens. Every day she chases him with her lovely innocence and sweet words, melting the heart…",7.7
#2207,Out of Breath,Korean Drama - 2019,3 episodes,"Ha Eun's girlfriend breaks up with her because she's scared of people knowing she's a lesbian. After a push from her best friend, Ha Eun meets Min Seo on a dating app. The two of them do all of the things on Ha Eun's…",7.7
#2208,The Glory of Tang Dynasty Season 2,Chinese Drama - 2017,32 episodes,"Tells the life of a woman, intelligent and kind, who becomes a concubine of the inner court while her love for the people enables her to do great things for the country. It's standard palace politics that we've all heard…",7.7
#2209,Miss Truth,Chinese Drama - 2020,36 episodes,"The story follows a forensic examiner Ran Yan, as she investigates the truth around her mother's suicide and solves murder cases one at a time. Ran Yan is an eighteen-year-old destitute noblewoman who grew up learning…",7.7
#2210,Saigo Kara Nibanme no Koi,Japanese Drama - 2012,11 episodes,"Koizumi’s last lead role in a drama series was in 2001 in TBS’s “Koi wo Nannen Yasundemasu ka.” This time, she will play a 45-year-old single woman who works as a TV drama producer. Starting to feel anxious about…",7.6
#2211,DNA Says Love You,Taiwanese Drama - 2022,12 episodes,"Inseparable childhood friends Pu Le Jian, Zhuang Xi Wen, and Xie Yu He swore they’d be together forever, but fate forced Le Jian and Xi Wen to part. Years later, Le Jian is struggling to keep his adventure YouTube…",7.8
#2212,Tatta Hitotsu no Koi,Japanese Drama - 2006,10 episodes,"The setting is in Yokohama. Hiroto Kanzaki works hard every day and night for the survival of a small ship repair factory (inherited from his father) as well as the survival of his mother and younger brother, who are…",7.7
#2213,The Fearless,Taiwanese Drama - 2019,13 episodes,"A reborn gangster accidentally found himself being able to see ghosts, which led to a life-changing experience. ""Guests"" came to him for help one after another... Started from death, what did they want him to see?",7.6
#2214,Dive,Chinese Drama - 2019,30 episodes,"A story that revolves around a diving team on the brink of disbandment. Coach Yu Feng grooms four athletes to represent the school and turn the tide for the diving team. She finds Jiang Bai Long, a former star of tomorrow…",7.7
#2215,Jang Young Shil,Korean Drama - 2016,24 episodes,"The drama series follows the life of Jang Yeong Shil: a scientist, technician and inventor during the Joseon period. Jang Yeong Shil was born in the lower class nobi. King Se Jong notices his abilities and brings him…",7.7
#2216,A Man's Story,Korean Drama - 2009,20 episodes,"In the blink of an eye, Kim Shin loses everything dear to him. His father's company goes bankrupt, his brother commits suicide, his girlfriend leaves him, and he himself ends up in jail for a crime he didn't commit.…",7.7
#2217,Shinbun Kisha,Japanese Drama - 2022,6 episodes,Matsuda Anna is a dedicated journalist who doggedly pursues the truth about a government corruption scandal even as powerful enemies seek to neutralize her reporting. (Source: Netflix) ~~ Loosely adapted from the novel…,7.7
#2218,Rakshasa Street,Chinese Drama - 2017,24 episodes,"Xia Ling, is a senior college student and looking for jobs. After a freak accident where she is the only survivor, she continues to live her life, however when many misfortunate events start occurring she realizes she…",7.7
#2219,User Not Found,Korean Drama - 2021,22 episodes,"A romance drama about two female high school students who happen to share the same name. When they both transfer to a new school at the same time, hoping to use the opportunity to turn their lives around, they forge…",7.7
#2220,Sign,Korean Drama - 2011,20 episodes,"Go Da Kyung is an eager rookie investigator who gets paired with the famous forensic doctor, Yoon Ji Hoon. They initially clash due to their different styles of investigation as well as their opposing personalities -…",7.7
#2221,Ghost Writer,Japanese Drama - 2015,10 episodes,"Tono Risa is a gifted writer in her 30s. She has already made a name for herself, but actually feels that she is at the end of the road. At that moment, Kawahara Yuki, a young woman in her 20s who has come to Tokyo with…",7.7
#2222,My Only Love Song,Korean Drama - 2017,20 episodes,"Song Soo Jung is a top star and she is very arrogant. She classifies people by how much money they have. Suddenly, she goes back in time to the Goguryeo era and meets On Dal. He will do anything to make money, but in…",7.7
#2223,Love Beyond Frontier,Thai Drama - 2019,13 episodes,"Wang travels to Thailand from Hong Kong to look for his mother. He bumps into Ple and Win at the airport and exchanges bags with Ple. Meanwhile, Wang arrived at his mother's house; however, she had moved away. He meets…",7.7
#2224,Deep in My Heart,Chinese Drama - 2019,28 episodes,A story about unraveling mysteries and healing follows a man with special abilities and a woman with a dual personality. Kong Yi Fei has many identities. He is a music teacher at a liberal arts school and a criminal…,7.7
#2225,Are You Safe,Chinese Drama - 2022,31 episodes,"In a world where the internet reigns supreme over the lives of most people, few people give more than an afterthought to the idea of security. But cyber-villains lurk in dark corners of the web, ready to pounce on unsuspecting…",7.7
#2226,Guilty Akuma to Keiyakushita Onna,Japanese Drama - 2010,11 episodes,"A pet groomer at a salon in Shirogane, Nogami Meiko has a lot of celebrity dog-lovers as customers. She cheerfully serves customers with care, and her skills are tried and tested. The salon's owner, Kotomi, has a strong…",7.7
#2227,Double Savage,Thai Drama - 2023,12 episodes,"Siblings Li, Pakorn and Pawin were born into a family of Chinese traders. The three are affectionate, always taking good care of each other. Pakorn doesn't receive the equal love of their father, Ko Beng, however. He…",7.7
#2228,Count Your Lucky Stars,Chinese Drama - 2020,34 episodes,"Lu Xing Cheng, a legendary figure in the fashion world, is renowned for his impeccable taste and unparalleled success. However, his sharp tongue and arrogance are well-known too. On the flip side is Tong Xiao You, an…",7.7
#2229,Ugly Duckling Series: Don't,Thai Drama - 2015,7 episodes,"After confessing her love to her crush at elementary school, Maewnam is literally crushed when the boy rejects her in front of all his friends. He calls her ugly and it’s at that moment that she decides to wear a box…",7.8
#2230,Tokumei Sentai Go-Busters,Japanese Drama - 2012,50 episodes,"Thirteen years ago, in the 36th Super Sentai series, a scientific research facility working on an experimental energy source called Enetron disappeared along with everyone inside except for three children and their robot…",7.7
#2231,Dr. Park’s Clinic,Korean Drama - 2022,12 episodes,"Dr. Park Won Jang recently opened his own internal medicine clinic. His goal is to become acknowledged as a skilled physician and make a lot of money in the process. He thought that if he opened his own clinic, the money…",7.7
#2232,Suits,Japanese Drama - 2018,11 episodes,"Shogo Kai is an arrogant lawyer at one of the biggest law firms in Japan. He is excellent at his job and only cares about winning his cases. He is close to becoming a senior partner at his firm, but his bosses are concerned…",7.7
#2233,Perfume,Korean Drama - 2019,32 episodes,"Seo Yi Do is a top designer. Although he appears to be the perfect man on the outside, his personality leaves something to be desired. On top of that, he has about 52 phobias and 35 allergies. Min Jae Hee is a middle-aged…",7.7
#2234,Homesick,Chinese Drama - 2022,12 episodes,"In the autumn of 1997, Chen You Xi escaped from the orphanage to find her missing best friend, Xiu, and came to Tanling County alone because of that. Before her disappearance, Xiu worked as a nanny for the Li family,…",7.7
#2235,Seigi no Mikata,Japanese Drama - 2008,10 episodes,"15-year-old Yoko, a young girl who is constantly tormented by her self-centered and devilish older sister Makiko, who works for a government office after having graduated from a famous university. But despite her ill…",7.7
#2236,I Am the Years You Are the Stars,Chinese Drama - 2021,24 episodes,"Jin Xiao Yu, a young girl suffering from a strange disease. The fate of her and Jiang Bai Ju, a mysterious designer, was changed by a bizarre car accident. One disappears easily like a shooting star, while the other…",7.7
#2237,Tokyo Bandwagon,Japanese Drama - 2013,10 episodes,"The somewhat peculiar Hotta family runs Tokyo Bandwagon, a secondhand bookstore and cafe in the old part of Tokyo. They are a big four-generation family that is rare these days. The Hottas live by rather unusual family…",7.7
#2238,So Not Worth it,Korean Drama - 2021,12 episodes,"New friends, new loves, and new experiences mix together inside a colorful college dormitory in Seoul that's home to students from around the world. Se Wan is a teaching assistant who is in charge of managing the dorm.…",7.8
#2239,Rule the World,Chinese Drama - 2017,45 episodes,"Tells of the romance between Dong Ge and Huang Tai Ji. Dong Ge is known as the most beautiful woman of Later Jin (Jurchen), yet was born with the prophecy that she could either bring “prosperity or chaos” to the…",7.7
#2240,"Isekai Izakaya ""Nobu""",Japanese Drama - 2020,10 episodes,"""Nobu"" is a bar located on a not-so-busy street in Kyoto. The front entrance of the bar is connected to the alternate world of ""Aiteria,” which is like medieval Europe. People from Aiteria visit the bar Nobu. Nobuyuki…",7.7
#2241,Taikan Yoho,Japanese Drama - 2023,8 episodes,"Popular handsome man and weather forecaster Segasaki is actually a tyrant at home. Yoh, an ero-manga artist in a tight spot knows this very well. This is because the two of them are living together. More than that, it's…",7.8
#2242,Emperor of the Sea,Korean Drama - 2004,51 episodes,"Jang Bo Go was a slave from Shilla (a Korean dynasty that lasted from 57 B.C. until 935 A.D.) He was sold in China during the Tang Dynasty, where he was trained as a gladiator-slave. Through hard work and perseverance,…",7.7
#2243,Like,Korean Drama - 2019,24 episodes,"So Yoon together with her friends decided to create a club on YouTube “Like”, where they can find out what they like, dream and show their talents. In the process of creating content, they experience a variety of…",7.7
#2244,Oh! My Emperor,Chinese Drama - 2018,21 episodes,"Luo Fei Fei, a 21st-century doctor, was unexpectedly transported to the mysterious ancient nation of Huang Dao, the kingdom of the Zodiac. By chance, it happened to be the monarch rotation system among the twelve constellations…",7.7
#2245,One Night Morning,Japanese Drama - 2022,8 episodes,"A story of eight different couples with fleeting, delicate relationships and their “simple breakfast” as if to make up for what is lacking in body and soul after spending a night together, including a man who is…",7.7
#2246,My Sassy Psychic,Thai Drama - 2022,13 episodes,Saran and his sidekick are on an undercover mission to meet a medium called Sonklin who has the same name as a goddess. Sonklin must help Saran as a witness in his investigation while teaming up with Doctor Pran in order…,7.7
#2247,Gintama 2: Yonimo Kimyo na Gintama-chan,Japanese Drama - 2018,3 episodes,Overview not available,7.7
#2248,Roy Fun Tawan Duerd,Thai Drama - 2014,12 episodes,"It is about Ryu, who is in an arranged engagement with a very young lady named Mayumi. Although he really likes her, he is afraid that because of her age, she is still too young for him and in the future she will be…",7.7
#2249,Lom Son Rak,Thai Drama - 2015,14 episodes,"The story is about twins who both work in the medical field: Pranon, a rural doctor, and Pran, a businessman in medical technology. Each works passionately toward success in his career, and their parents are eager to…",7.7
#2250,Beloved Life,Chinese Drama - 2022,36 episodes,Du Di and Wu Cong Rui are resident doctors at the Obstetrics and Gynecology Department of one of China's top hospitals. The two friends originally had bright career prospects and stable relationships. However Du Di and…,7.7
#2251,"Mitaraike, Enjou Suru",Japanese Drama - 2023,8 episodes,"The Mitarai family are wealthy and they have run a hospital for generations. One day, their home burns down in a fire. 13 years later, Murata Anzu, from a housekeeper agency, is hired by Mitarai Makiko. She is the second…",7.7
#2252,Sisyphus: The Myth,Korean Drama - 2021,16 episodes,"An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him. Han Tae Sul, a co-founder of Quantum and Time, is a genius engineer…",7.8
#2253,Hayabusa Shobodan,Japanese Drama - 2023,9 episodes,"Mima Taro is a writer who has hit a slump. Tired of city life, he moves into the house he inherited from his father in the mountainous Hayabusa. When he joins the fire brigade, he becomes involved in a series of arson…",7.7
#2254,The Royal Gambler,Korean Drama - 2016,24 episodes,Baek Dae Gil and King Yeong Jo enter a match. Baek Dae Gil bets his life and King Yeong Jo bets the entire Kingdom of Joseon on the outcome. Baek Dae Gil is the best gambler in the Joseon era. He holds deep resentment…,7.7
#2255,Game of Outlaws,Thai Drama - 2021,19 episodes,"Jane and Lalisa lose their respective fathers on the same day. Their fathers died while serving in the police. Lalisa's mother adopts Janenaree and treats her as her own child. Together with their younger brother, they…",7.7
#2256,Chou no Rikigaku,Japanese Drama - 2019,6 episodes,"Kisaragi Toko is a detective in the Investigation 1 Section 11 of the Tokyo Metropolitan Police Department. Her senior, Detective Hideaki Takano, has decided to move to the Public Security Bureau. Hideaki Takano’s…",7.7
#2257,Cat's Bar,Korean Drama - 2019,10 episodes,"After their ""butler"" gets hurt, 3 mysterious cats start running a bar to make a living. Na Bi, Byeol, and Jang Gun, three cats that can turn into humans, will help their customers by offering them special drinks that…",7.7
#2258,Kaew Klang Dong,Thai Drama - 2019,14 episodes,"Songpao is a wealthy city guy that likes wildlife and outdoors. He is best friends with Mewadee's father, who lives in a small village in the forest. One day, Songpao goes into the forest to camp with Mewadee's father,…",7.7
#2259,Romanced,Korean Drama - 2021,8 episodes,"A quirky and provocative secret romance set in the theatre. A play based on a revenge plot is in progress with both leads keeping their true identities under wraps. 

(Source: KoreaDaily.com)",7.7
#2260,The Scholar Who Walks the Night,Korean Drama - 2015,20 episodes,"In Joseon Dynasty, immaculately dressed in scholarly robes, the young nobleman Kim Sung Yeol lives as a vampire to keep his promise to his friends. When Sung Yeol still was a human, he found out about the vampire Gwi…",7.8
#2261,"Dear Doctor, I'm Coming for Soul",Thai Drama - 2022,12 episodes,"Dr. Prakan is a well-known surgeon dedicated to saving people’s lives. However, while he is trying to save lives he is constantly visited by the last person he could ever want to see. Death will show up every day trying…",7.7
#2262,"Gomen, Aishiteru",Japanese Drama - 2017,10 episodes,"Ritsu was abandoned by his mother Reiko when he was little, so now he belongs in the lower social strata. One day, Ritsu gets involved in a case and his head is severely injured, so he can die at anytime. Convinced she…",7.7
#2263,My Amazing Boyfriend Season 2,Chinese Drama - 2019,38 episodes,"In the first season, second-rate actress Tian Jing Zhi and mutant Xue Ling Qiao fell in love after a car accident but he left to ensure her safety. In the sequel, Tian Jing Zhi discovers she's pregnant after his departure,…",7.7
#2264,The Trust,Chinese Drama - 2023,30 episodes,"Born the daughter of a great general, Xu Yu was raised with a sword in her hand. Training from a very young age, Xu Yu is as adept with a bow as she is with a sword and her skill as a horseman rivals that of her father's…",7.7
#2265,The Village: Achiara's Secret,Korean Drama - 2015,16 episodes,"Achiara is a small, quiet, peaceful village with hardly any crime. But on her first day of school there, English teacher Han So Yoon discovers a buried corpse. As the townspeople speculate on the identity of the dead…",7.7
#2266,Seventeen,Korean Drama - 2017,8 episodes,"At seventeen, we were all newbies at love. These are innocent and reckless high school love stories that we dare not think of doing now.",7.7
#2267,Hotel Trainees,Chinese Drama - 2020,24 episodes,"About a group of youths who come to the top hotel chain BYT to intern, and learn valuable life skills in the process. Yue Ran, Ning Jiajia, Su Shan and Luo Fei are graduates of a hotel management course. They pass through…",7.7
#2268,Legendary Witch,Korean Drama - 2014,40 episodes,"Soo In, Bok Nyeo, Pung Geum, and Mi Oh, are four female prisoners at a correctional facility who have been victims of a miscarriage of justice in different cases, which later turn out to have a common thread intertwined.…",7.7
#2269,Let's Eat Season 3,Korean Drama - 2018,14 episodes,"Goo Dae Yeong has fallen into a slump in his thirties. In order to heal his wounds, he embarks on a journey to revisit the food that he loved in his twenties with former college classmate Lee Ji Woo, and the two not…",7.7
#2270,Duang Jai Akkanee,Thai Drama - 2010,10 episodes,"Destined to become enemies due to the rivalry beginning from their parent's generation, Akkanee (Fai) and Ajjima (Jeed) can never seem to get along. On the contrary, Heaven seemed to have other plans for them. After…",7.7
#2271,Zettai Reido Season 3,Japanese Drama - 2018,10 episodes,The Japanese government carries out a secret project which entails the collection of all personal information on its citizens. The data is then analyzed to determine who will likely commit serious crimes in the future…,7.6
#2272,Cute Programmer,Chinese Drama - 2021,30 episodes,"After falling in love with genius programmer Jiang Yi Cheng, Lu Li enrolls into the school he once studied at, and also took up the same major - computer programming. Setting Jiang Yi Cheng as her role model in her heart,…",7.8
#2273,Sanae Rak Nang Cin,Thai Drama - 2018,12 episodes,"Prim is an orphan. She and her two best friends, But and Rita, work at one of P. Paul's shoe stores and Prim dreams of becoming a shoe designer. After an incident, they get fired from their jobs and decide to go on vacation…",7.7
#2274,Mahou no Rinobe,Japanese Drama - 2022,10 episodes,"Shingyoji Kome has recently begun work at Marufuku Komuten, which is a home renovation company. She is 30-years-old and single. The company where she works is owned and run by the Fukuyama family. Shingyoji Kome worked…",7.6
#2275,Love That Makes You Cry,Japanese Drama - 2016,10 episodes,"After Sugihara Oto’s mother passed away when she was young, she was raised by adoptive parents in the Hokkaido countryside. Although she gave up having dreams, she lives cheerfully and bravely. But she is troubled…",7.7
#2276,Falling Into You,Taiwanese Drama - 2020,13 episodes,Chen Zi Tong is down on her luck. She was once a promising Taekwondo athlete with hopes of competing at the Olympic Games. But a debilitating knee injury inflicted by a scheming friend and a disloyal boyfriend forced…,7.7
#2277,Legend of Yunze Season 2,Chinese Drama - 2022,15 episodes,"After the events at Changshui Village, A Ze and Zhao Yun decide to travel together for a while. Their journey takes some unexpected turns; however, the duo finds themselves digging deep into A Ze's memories, trying to…",7.7
#2278,Stars Falling from the Sky,Korean Drama - 2010,20 episodes,"The drama draws a love story between two co-workers at an insurance company, with Kim Ji Hoon playing the company's smart-as-a-whip lawyer. Because he carries the hurt of having been abandoned by his birth mother, he…",7.7
#2279,Martial Universe Season 2,Chinese Drama - 2018,20 episodes,"The story occurs after Lin Dong and Zhou Tong have joined hands to defeat the enemy. Evil lingers as Yi Mo Huang survives, and the search for the two remaining talismans continues. After witnessing Ying Huan Huan sacrifice…",7.7
#2280,Jack o' Frost,Japanese Drama - 2023,6 episodes,"This follows the story of illustrator Okusawa Ritsu and salesman Ikegami Fumiya. They met at an old coffee shop and eventually fell in love and lived happily together. However, a misunderstanding gradually arises between…",7.7
#2281,Mother of Mine,Korean Drama - 2019,108 episodes,"This drama is about a story of a mother and three daughters living in modern-day Korean society. The drama conveys a message about the low fertility rate, divorce rate, and the problems of the younger generation who…",7.7
#2282,Dr. DMAT,Japanese Drama - 2014,11 episodes,"DMAT, the acronym for the ""Disaster Medical Assistance Team"", was first established in 2004. For the past 10 years, the team has been providing on-site emergency assistance at disaster-hit areas. Yakumo Hibiki was an…",7.7
#2283,Shinzanmono,Japanese Drama - 2010,10 episodes,"In the Ningyo-cho area of Nihonbashi, Tokyo - a woman was murdered. Detective Kaga Kyoichiro, who just transferred to the Nihonbashi police precinct, is placed in charge of the murder case. With virtually all the residents…",7.7
#2284,Detective Samoyeds,Chinese Drama - 2017,24 episodes,This 'X Files of the Tang Dynasty' revolves around a special bureau established for the sole purpose of investigating the paranormal and the occult. The six-member A-team is not your average detective agency due to each…,7.7
#2285,The Legendary Four Aces,Hong Kong Drama - 2000,52 episodes,"Four scholarly people who find love. There is the smart and dashing Tang Bo Hu played by Nick Cheung. Greedy Chu Tse San (Bobby), noble and honest Wen Jing Ming (Gordon), and the guy who goes a long Chow Wen Bing (Macro).",7.6
#2286,Diary of Tootsies,Thai Drama - 2016,12 episodes,"The story of three gays who got their heartbroken on the same day and their lesbian friend who gives them comfort even though her heart was not broken. They vow to find ""mates"" before the New Year. Join them on this…",7.7
#2287,Delayed Justice,Korean Drama - 2020,20 episodes,"Park Tae Yong and Park Sam Soo fight for judicial victims who are falsely accused. Park Tae Yong, a public defender, was born as the son of an undertaker on an island. He did not take the typical route to become a lawyer.…",7.7
#2288,I Have a Lover,Korean Drama - 2015,50 episodes,"A coincidental switch of cars leads to a switch of fates for twins who were separated 30 years ago. Hae Kang, the elder sister is a successful lawyer married to Jin Eon the successor of a top pharmaceutical company.…",7.7
#2289,Band of Sisters,Korean Drama - 2017,68 episodes,"Kang Ha Ri, with her bright personality, works part-time at a stationery store and a nail shop. Min Deul Re was a popular actress, but she isn't so popular these days. Kim Eun Hyang worked as a secretary prior to the…",7.7
#2290,Kimi wa Petto,Japanese Drama - 2017,16 episodes,29-year-old Iwaya Sumire has had a bad day. Make that the worst of all bad days. She has been dumped by her boyfriend of 5 years when she was anticipating a marriage proposal (although she read the situation and dumped…,7.7
#2291,Hormones Season 3,Thai Drama - 2015,13 episodes,"The seniors have graduated from Nadao Bangkok High School, leaving a legacy for the next generation to build upon… Another school year has arrived, and the “wounds” caused by just living and learning are still…",7.7
#2292,Gone with the Rain,Chinese Drama - 2023,37 episodes,"In the ancient state of Jing, a young Emperor named Zhen Zhong has just ascended the throne. But the state has been torn apart by a tumultuous rebellion and the rebellion has also left the royal court in tatters. All…",7.7
#2293,The King of Dramas,Korean Drama - 2012,18 episodes,"Anthony Kim, a brilliant CEO of a drama production company who will do anything and everything for the sake of money, fame and success. He is known to possess the Midas touch as he has created blockbuster dramas and…",7.7
#2294,Way Back Into Love,Chinese Drama - 2020,26 episodes,"As a student, Lu Jia spent most of her time in school, dreaming of the day she finally caught the attention of Xu Jia Xiu. A student in the class next door, Jia Xiu, was everything Jia dreamed a guy could be. Unfortunately,…",7.7
#2295,A Love So Beautiful,Korean Drama - 2020,24 episodes,"Cha Heon is a student at Chun Ji High School who has both good looks and brains. He appears to be a cold character, but he is actually someone with a warm heart who can't express himself well. Shin Sol Yi is a bright…",7.7
#2296,Kom Faek,Thai Drama - 2018,14 episodes,"A group of gangs lead the world into the bloody action of Bangkok in the 70s. The atmosphere of animosity between the bad guys and good guys unlock everyone's experiences of beginning to find the chains within true love,…",7.7
#2297,"Dragon Day, You're Dead Season 2",Chinese Drama - 2018,20 episodes,"Will Long Ri Yi and Zhang Jing Mei get over their guilt of Long Hai Yi’s accident? Will their love overcome the many obstacles they face, including the opposition of their relationship by Long Ri Yi’s grandfather?…",7.7
#2298,Serendipity,Chinese Drama - 2021,12 episodes,"Yan Sui is a veteran crossworld traveller - he enters storybook worlds and completes character missions to earn spiritual energy as a reward. His life starts to change when an ordinary girl, Mu Xiao Ru, accidentally…",7.7
#2299,Alice no Toge,Japanese Drama - 2014,10 episodes,Asumi Mizuno gives up everything to take revenge on the doctors who are responsible for her father’s death.,7.7
#2300,I Know I Love You,Chinese Drama - 2023,24 episodes,"Florist Xu Nuo is jaded by a decade of unsuccessful romance. Her life seems to have ground to a juddering halt, but her family wants her to marry a man she has no feelings for. Her path crosses with that of Zhao Jin,…",7.7
#2301,The Ghost Detective,Korean Drama - 2018,32 episodes,"Lee Da Il is a private investigator, who catches ghosts. He runs into a mysterious woman in red called Sunwoo Hye who appears at every crime scene. Jung Yeo Wool becomes his assistant to solve a mystery related to her…",7.7
#2302,Dolce Amore,Filipino Drama - 2016,137 episodes,"Serena and Tenten are two young wandering souls, both in search of who they really are, and brought together by destiny and by an infallible connection with each other. Serena is a young girl raised in Rome by her affluent…",7.6
#2303,Two Fathers,Taiwanese Drama - 2013,73 episodes,"Seven years ago, two men were notified that the women they both dated had disappeared after giving birth to a baby girl. Not knowing who the father was, the two bachelors decided to raise the baby together. Tang Xiang…",7.7
#2304,Save the Last Dance for Me,Korean Drama - 2004,20 episodes,"Eun Soo is a pure but unsophisticated woman who runs a small resort inn with her father. Eun Soo is just an ordinary girl, but her life changes when she meets a man who's completely lost his memory. She takes him in…",7.7
#2305,Subete ga F ni Naru,Japanese Drama - 2014,10 episodes,"Due to Professor Kita’s suggestion, student Nishinosono Moe and Associate Professor Saikawa Sohei head to Professor Kita’s research institute. There, various experiments have been conducted in a low temperature research…",7.7
#2306,The Dreamlike Seal,Chinese Drama - 2021,130 episodes,"The general's daughter, Bai Li Xing Xuan is on a secret mission to find and protect a lost seal, missing since Lord Zhao Hua’s death. As she goes on this mission, she meets Fu Ye with a hidden identity, a rich playboy…",7.7
#2307,The Love Lasts Two Minds,Chinese Drama - 2020,36 episodes,"The year is 907 CE, and the Later Liang dynasty has just taken control of what is now Northern China. A general’s daughter named Yuan Qing Li is traveling to a quiet nunnery to meditate in peace. However, a gang of…",7.7
#2308,Bakuryuu Sentai Abaranger,Japanese Drama - 2003,50 episodes,"Scientists believe that 65,000,000 years ago, a meteorite's crash on Earth killed off the dinosaurs, but in truth, it split Earth into two parallel universes: Dino Earth, an Earth where dinosaurs were still the superior…",7.7
#2309,Love at First Hate,Thai Drama - 2018,13 episodes,"When a smart, handsome, and foul mouthed doctor ‘Paniti’ or Dr. Pup met a hot, sexy and thick superstar 'Kluay' who is not his type and also he is not her type. They hated each other at first sight, but when they…",7.7
